gene_symbol,ensembl_id,challenge_idx,lincs_entrez,lincs_feature_space,split
GPC1,ENSG00000063660,108,2817,landmark,panel
LPAR2,ENSG00000064547,109,9170,landmark,panel
HMG20B,ENSG00000064961,110,10362,landmark,panel
TAF11,ENSG00000064995,111,6882,best inferred,rest
AP3D1,ENSG00000065000,112,8943,best inferred,rest
TRAM2,ENSG00000065308,113,9697,landmark,panel
DGKA,ENSG00000065357,114,1606,best inferred,rest
ERBB3,ENSG00000065361,115,2065,landmark,panel
ADAT1,ENSG00000065457,116,23536,landmark,panel
PDIA5,ENSG00000065485,117,10954,landmark,panel
SPEN,ENSG00000065526,118,23013,landmark,panel
MYLK,ENSG00000065534,119,4638,landmark,panel
PRKCQ,ENSG00000065675,120,5588,landmark,panel
MTHFD2,ENSG00000065911,121,10797,landmark,panel
PPP2R5A,ENSG00000066027,122,5525,landmark,panel
ELAVL1,ENSG00000066044,123,1994,landmark,panel
KDM4A,ENSG00000066135,124,9682,best inferred,rest
ZMYND12,ENSG00000066185,125,,,rest
FGFR2,ENSG00000066468,126,2263,landmark,panel
ISOC1,ENSG00000066583,127,51015,landmark,panel
ATG2B,ENSG00000066739,128,55102,best inferred,rest
MTFR1,ENSG00000066855,129,9650,landmark,panel
PLPP1,ENSG00000067113,130,8611,best inferred,rest
PHKA1,ENSG00000067177,131,5255,landmark,panel
DHX29,ENSG00000067248,132,54505,landmark,panel
DNTTIP2,ENSG00000067334,133,30836,landmark,panel
TP53BP1,ENSG00000067369,134,7158,landmark,panel
RHOA,ENSG00000067560,135,387,landmark,panel
IARS2,ENSG00000067704,136,55699,landmark,panel
HEATR6,ENSG00000068097,137,63897,best inferred,rest
COASY,ENSG00000068120,138,80347,landmark,panel
TFE3,ENSG00000068323,139,7030,best inferred,rest
FTSJ1,ENSG00000068438,140,24140,best inferred,rest
NUP133,ENSG00000069248,141,55746,landmark,panel
PIGB,ENSG00000069943,142,9488,landmark,panel
GNB5,ENSG00000069966,143,10681,landmark,panel
RAB27A,ENSG00000069974,144,5873,landmark,panel
SCT,ENSG00000070031,145,6343,inferred,rest
ELP1,ENSG00000070061,146,8518,landmark,panel
NUCB2,ENSG00000070081,147,4925,landmark,panel
JMJD6,ENSG00000070495,148,23210,landmark,panel
POLB,ENSG00000070501,149,5423,landmark,panel
ST6GALNAC2,ENSG00000070731,150,10610,landmark,panel
CSNK2A2,ENSG00000070770,151,1459,landmark,panel
TCOF1,ENSG00000070814,152,6949,best inferred,rest
NCK2,ENSG00000071051,153,8440,landmark,panel
MAP4K4,ENSG00000071054,154,9448,landmark,panel
SNX13,ENSG00000071189,155,23161,landmark,panel
PDCD2,ENSG00000071994,156,5134,best inferred,rest
PRKACA,ENSG00000072062,157,5566,landmark,panel
ADGRL1,ENSG00000072071,158,22859,best inferred,rest
EPN2,ENSG00000072134,159,22905,landmark,panel
SMC1A,ENSG00000072501,160,8243,landmark,panel
HSD17B10,ENSG00000072506,161,3028,landmark,panel
P4HA2,ENSG00000072682,162,8974,landmark,panel
NFATC3,ENSG00000072736,163,4775,landmark,panel
STK10,ENSG00000072786,164,6793,landmark,panel
MRVI1,ENSG00000072952,165,,,rest
SCARB1,ENSG00000073060,166,949,landmark,panel
KDM5A,ENSG00000073614,167,5927,landmark,panel
FERMT2,ENSG00000073712,168,10979,best inferred,rest
CD5L,ENSG00000073754,169,922,inferred,rest
PTGS2,ENSG00000073756,170,5743,landmark,panel
IGF2BP2,ENSG00000073792,171,10644,landmark,panel
GLI2,ENSG00000074047,172,2736,landmark,panel
EED,ENSG00000074266,173,8726,landmark,panel
BCS1L,ENSG00000074582,174,617,best inferred,rest
HACD3,ENSG00000074696,175,51495,landmark,panel
TUBE1,ENSG00000074935,176,,,rest
TIPIN,ENSG00000075131,177,54962,best inferred,rest
FOSL2,ENSG00000075426,178,2355,best inferred,rest
CACNG5,ENSG00000075429,179,27091,inferred,rest
RAB7A,ENSG00000075785,180,7879,best inferred,rest
ICAM3,ENSG00000076662,181,3385,landmark,panel
RAP1GAP,ENSG00000076864,182,5909,landmark,panel
STXBP2,ENSG00000076944,183,6813,landmark,panel
TM9SF3,ENSG00000077147,184,56889,landmark,panel
NFKB2,ENSG00000077150,185,4791,landmark,panel
IL4R,ENSG00000077238,186,3566,landmark,panel
USP33,ENSG00000077254,187,23032,best inferred,rest
UBE2A,ENSG00000077721,188,7319,landmark,panel
FGFR1,ENSG00000077782,189,2260,best inferred,rest
PIK3C3,ENSG00000078142,190,5289,landmark,panel
N4BP2,ENSG00000078177,191,,,rest
ADCY2,ENSG00000078295,192,108,best inferred,rest
EDN1,ENSG00000078401,193,1906,landmark,panel
MLLT10,ENSG00000078403,194,8028,best inferred,rest
P2RY10,ENSG00000078589,195,27334,best inferred,rest
PCM1,ENSG00000078674,196,5108,landmark,panel
ITCH,ENSG00000078747,197,83737,best inferred,rest
XRCC5,ENSG00000079246,198,7520,best inferred,rest
MKNK1,ENSG00000079277,199,8569,landmark,panel
FDFT1,ENSG00000079459,200,2222,landmark,panel
PAFAH1B3,ENSG00000079462,201,5050,landmark,panel
CARMIL1,ENSG00000079691,202,55604,landmark,panel
PGM1,ENSG00000079739,203,5236,landmark,panel
EPB41L2,ENSG00000079819,204,2037,landmark,panel
KEAP1,ENSG00000079999,205,9817,landmark,panel
RAB21,ENSG00000080371,206,23011,landmark,panel
SESN1,ENSG00000080546,207,27244,landmark,panel
CNOT4,ENSG00000080802,208,4850,landmark,panel
MOK,ENSG00000080823,209,5891,landmark,panel
CXCL2,ENSG00000081041,210,2920,landmark,panel
MEF2C,ENSG00000081189,211,4208,landmark,panel
PTPRC,ENSG00000081237,212,5788,landmark,panel
AACS,ENSG00000081760,213,65985,best inferred,rest
PCDHA6,ENSG00000081842,214,56142,inferred,rest
IL12RB2,ENSG00000081985,215,3595,best inferred,rest
ME2,ENSG00000082212,216,4200,landmark,panel
NFE2L1,ENSG00000082641,217,4779,best inferred,rest
ITGB5,ENSG00000082781,218,3693,landmark,panel
PALB2,ENSG00000083093,219,79728,best inferred,rest
KAT6A,ENSG00000083168,220,7994,landmark,panel
PLOD1,ENSG00000083444,221,5351,best inferred,rest
OXCT1,ENSG00000083720,222,5019,landmark,panel
ZNF586,ENSG00000083828,223,54807,landmark,panel
FAT1,ENSG00000083857,224,2195,landmark,panel
PPIE,ENSG00000084072,225,10450,landmark,panel
FAM234B,ENSG00000084444,226,57613,best inferred,rest
TXLNA,ENSG00000084652,227,200081,landmark,panel
GCKR,ENSG00000084734,228,2646,best inferred,rest
MECOM,ENSG00000085276,229,2122,best inferred,rest
MAP3K4,ENSG00000085511,230,4216,landmark,panel
PILRA,ENSG00000085514,231,29992,best inferred,rest
AKR1B1,ENSG00000085662,232,231,best inferred,rest
CPNE3,ENSG00000085719,233,8895,landmark,panel
RRN3,ENSG00000085721,234,54700,best inferred,rest
CTTN,ENSG00000085733,235,2017,landmark,panel
ORC1,ENSG00000085840,236,4998,landmark,panel
CHERP,ENSG00000085872,237,10523,landmark,panel
MAST2,ENSG00000086015,238,23139,landmark,panel
CHMP5,ENSG00000086065,239,51510,best inferred,rest
ITPKC,ENSG00000086544,240,80271,best inferred,rest
ZW10,ENSG00000086827,241,9183,landmark,panel
SRRT,ENSG00000087087,242,51593,best inferred,rest
BAX,ENSG00000087088,243,581,landmark,panel
PIGS,ENSG00000087111,244,,,rest
MMP2,ENSG00000087245,245,4313,landmark,panel
NID2,ENSG00000087303,246,22795,best inferred,rest
DNM1L,ENSG00000087470,247,10059,landmark,panel
ERGIC2,ENSG00000087502,248,51290,best inferred,rest
AURKA,ENSG00000087586,249,6790,landmark,panel
GNA11,ENSG00000088256,250,2767,landmark,panel
ANKRD10,ENSG00000088448,251,55608,landmark,panel
PPP1R13B,ENSG00000088808,252,23368,landmark,panel
MAPKAPK5,ENSG00000089022,253,8550,landmark,panel
SLC23A2,ENSG00000089057,254,9962,best inferred,rest
DZANK1,ENSG00000089091,255,55184,best inferred,rest
LHX5,ENSG00000089116,256,64211,inferred,rest
PXN,ENSG00000089159,257,5829,landmark,panel
RPH3A,ENSG00000089169,258,22895,best inferred,rest
IGBP1,ENSG00000089289,259,3476,best inferred,rest
BIRC5,ENSG00000089685,260,332,landmark,panel
ICAM1,ENSG00000090339,261,3383,landmark,panel
MCOLN1,ENSG00000090674,262,57192,landmark,panel
AARS,ENSG00000090861,263,16,landmark,panel
DLD,ENSG00000091140,264,1738,landmark,panel
WDR7,ENSG00000091157,265,23335,landmark,panel
SPAG7,ENSG00000091640,266,9552,landmark,panel
PSME1,ENSG00000092010,267,5720,landmark,panel
PPP2R3C,ENSG00000092020,268,55012,landmark,panel
TGM1,ENSG00000092295,269,7051,best inferred,rest
PHGDH,ENSG00000092621,270,26227,landmark,panel
CDC45,ENSG00000093009,271,8318,landmark,panel
HDAC6,ENSG00000094631,272,10013,landmark,panel
FMO2,ENSG00000094963,273,2327,best inferred,rest
HOOK2,ENSG00000095066,274,29911,landmark,panel
BAMBI,ENSG00000095739,275,25805,landmark,panel
PGC,ENSG00000096088,276,5225,inferred,rest
HSP90AB1,ENSG00000096384,277,3326,best inferred,rest
ABL1,ENSG00000097007,278,25,landmark,panel
MZF1,ENSG00000099326,279,7593,best inferred,rest
KCNK6,ENSG00000099337,280,,,rest
CIRBP,ENSG00000099622,281,1153,landmark,panel
RASSF7,ENSG00000099849,282,8045,best inferred,rest
GADD45B,ENSG00000099860,283,4616,landmark,panel
CRKL,ENSG00000099942,284,1399,landmark,panel
SF3A1,ENSG00000099995,285,10291,best inferred,rest
LGALS2,ENSG00000100079,286,3957,best inferred,rest
GGA1,ENSG00000100083,287,26088,best inferred,rest
MICALL1,ENSG00000100139,288,85377,landmark,panel
XBP1,ENSG00000100219,289,7494,landmark,panel
JOSD1,ENSG00000100221,290,9929,best inferred,rest
FBXO7,ENSG00000100225,291,25793,landmark,panel
HMOX1,ENSG00000100292,292,3162,landmark,panel
MCM5,ENSG00000100297,293,4174,best inferred,rest
RBFOX2,ENSG00000100320,294,23543,best inferred,rest
PNPLA5,ENSG00000100341,295,,,rest
CERK,ENSG00000100422,296,64781,landmark,panel
ABHD4,ENSG00000100439,297,63874,landmark,panel
SDR39U1,ENSG00000100445,298,56948,best inferred,rest
COCH,ENSG00000100473,299,1690,best inferred,rest
POLE2,ENSG00000100479,300,5427,landmark,panel
PYGL,ENSG00000100504,301,5836,landmark,panel
CGRRF1,ENSG00000100532,302,10668,landmark,panel
ATP6V1D,ENSG00000100554,303,51382,landmark,panel
TIMM9,ENSG00000100575,304,26520,landmark,panel
GSTZ1,ENSG00000100577,305,2954,landmark,panel
SPTLC2,ENSG00000100596,306,9517,landmark,panel
LGMN,ENSG00000100600,307,5641,landmark,panel
SNW1,ENSG00000100603,308,22938,best inferred,rest
DHRS7,ENSG00000100612,309,51635,landmark,panel
HIF1A,ENSG00000100644,310,3091,landmark,panel
SRSF5,ENSG00000100650,311,6430,best inferred,rest
EIF5,ENSG00000100664,312,1983,landmark,panel
PCK2,ENSG00000100889,313,5106,landmark,panel
NFKBIA,ENSG00000100906,314,4792,landmark,panel
PSME2,ENSG00000100911,315,5721,landmark,panel
NFATC4,ENSG00000100968,316,4776,landmark,panel
CD40,ENSG00000101017,317,958,landmark,panel
MYBL2,ENSG00000101057,318,4605,landmark,panel
ADNP,ENSG00000101126,319,23394,best inferred,rest
RAE1,ENSG00000101146,320,8480,landmark,panel
TPD52L2,ENSG00000101150,321,7165,landmark,panel
PRPF6,ENSG00000101161,322,24148,best inferred,rest
TUBB1,ENSG00000101162,323,81027,inferred,rest
TCFL5,ENSG00000101190,324,10732,landmark,panel
COL20A1,ENSG00000101203,325,,,rest
CDC25B,ENSG00000101224,326,994,landmark,panel
NDUFAF5,ENSG00000101247,327,79133,inferred,rest
TRIB3,ENSG00000101255,328,57761,landmark,panel
RSPO4,ENSG00000101282,329,,,rest
MYL9,ENSG00000101335,330,10398,landmark,panel
CST4,ENSG00000101441,331,1472,inferred,rest
USP14,ENSG00000101557,332,9097,landmark,panel
RNMT,ENSG00000101654,333,8731,landmark,panel
PSMD10,ENSG00000101843,334,5716,landmark,panel
GPR143,ENSG00000101850,335,4935,best inferred,rest
PGRMC1,ENSG00000101856,336,10857,landmark,panel
MID1,ENSG00000101871,337,4281,best inferred,rest
SUV39H1,ENSG00000101945,338,6839,landmark,panel
PLP2,ENSG00000102007,339,5355,landmark,panel
PLS3,ENSG00000102024,340,5358,best inferred,rest
NAA10,ENSG00000102030,341,8260,best inferred,rest
SLC25A14,ENSG00000102078,342,9016,landmark,panel
FMR1,ENSG00000102081,343,2332,best inferred,rest
BRS3,ENSG00000102239,344,680,inferred,rest
HTATSF1,ENSG00000102241,345,27336,landmark,panel
NDFIP2,ENSG00000102471,346,,,rest
TNFSF13B,ENSG00000102524,347,,,rest
FNDC3A,ENSG00000102531,348,22862,best inferred,rest
CORO1A,ENSG00000102879,349,11151,landmark,panel
PHKB,ENSG00000102893,350,5257,landmark,panel
LYRM1,ENSG00000102897,351,57149,landmark,panel
NUP93,ENSG00000102900,352,9688,landmark,panel
ACD,ENSG00000102977,353,65057,landmark,panel
NDRG4,ENSG00000103034,354,65009,best inferred,rest
HAS3,ENSG00000103044,355,,,rest
COG4,ENSG00000103051,356,25839,landmark,panel
PLA2G15,ENSG00000103066,357,23659,landmark,panel
MON1B,ENSG00000103111,358,22879,best inferred,rest
AXIN1,ENSG00000103126,359,8312,landmark,panel
MPG,ENSG00000103152,360,4350,best inferred,rest
CIAO3,ENSG00000103245,361,64428,landmark,panel
SLC7A5,ENSG00000103257,362,8140,best inferred,rest
METRN,ENSG00000103260,363,79006,landmark,panel
STUB1,ENSG00000103266,364,10273,landmark,panel
DNAJA3,ENSG00000103423,365,9093,landmark,panel
STX4,ENSG00000103496,366,6810,landmark,panel
CCP110,ENSG00000103540,367,9738,landmark,panel
CSK,ENSG00000103653,368,1445,landmark,panel
RASL12,ENSG00000103710,369,51285,best inferred,rest
FAH,ENSG00000103876,370,2184,landmark,panel
HOMER2,ENSG00000103942,371,9455,landmark,panel
GABPB1,ENSG00000104064,372,2553,landmark,panel
TJP1,ENSG00000104067,373,7082,landmark,panel
DECR1,ENSG00000104325,374,1666,landmark,panel
POP1,ENSG00000104356,375,10940,best inferred,rest
IKBKB,ENSG00000104365,376,3551,landmark,panel
SPAG1,ENSG00000104450,377,6674,best inferred,rest
SNX16,ENSG00000104497,378,64089,best inferred,rest
TSTA3,ENSG00000104522,379,7264,landmark,panel
PYCR3,ENSG00000104524,380,65263,best inferred,rest
PPP2CB,ENSG00000104695,381,5516,best inferred,rest
ASAH1,ENSG00000104763,382,427,landmark,panel
BNIP3L,ENSG00000104765,383,665,landmark,panel
MAN2B1,ENSG00000104774,384,4125,landmark,panel
ECH1,ENSG00000104823,385,1891,landmark,panel
NFKBIB,ENSG00000104825,386,4793,landmark,panel
KCNA7,ENSG00000104848,387,,,rest
RELB,ENSG00000104856,388,5971,landmark,panel
PIH1D1,ENSG00000104872,389,55011,landmark,panel
PLEKHJ1,ENSG00000104886,390,55111,landmark,panel
AMH,ENSG00000104899,391,268,inferred,rest
LILRB1,ENSG00000104972,392,10859,best inferred,rest
AKAP8,ENSG00000105127,393,10270,landmark,panel
POP4,ENSG00000105171,394,10775,landmark,panel
FSD1,ENSG00000105255,395,79187,landmark,panel
POLR2I,ENSG00000105258,396,5438,landmark,panel
ETFB,ENSG00000105379,397,2109,landmark,panel
CRX,ENSG00000105392,398,1406,inferred,rest
KDELR1,ENSG00000105438,399,10945,best inferred,rest
GRWD1,ENSG00000105447,400,83743,landmark,panel
LIG1,ENSG00000105486,401,3978,landmark,panel
CAPS,ENSG00000105519,402,,,rest
RASIP1,ENSG00000105538,403,54922,best inferred,rest
TMEM147,ENSG00000105677,404,10430,best inferred,rest
GAPDHS,ENSG00000105679,405,26330,inferred,rest
LSR,ENSG00000105699,406,51599,landmark,panel
CDK6,ENSG00000105810,407,1021,landmark,panel
TFPI2,ENSG00000105825,408,7980,best inferred,rest
BET1,ENSG00000105829,409,10282,best inferred,rest
PON2,ENSG00000105854,410,5445,best inferred,rest
MPP6,ENSG00000105926,411,51678,best inferred,rest
DNAJB6,ENSG00000105993,412,10049,landmark,panel
HOXA5,ENSG00000106004,413,3202,landmark,panel
HIBADH,ENSG00000106049,414,,,rest
GRB10,ENSG00000106070,415,2887,landmark,panel
FKBP14,ENSG00000106080,416,55033,landmark,panel
STX1A,ENSG00000106089,417,6804,landmark,panel
CASP2,ENSG00000106144,418,835,landmark,panel
HSPB1,ENSG00000106211,419,3315,landmark,panel
ZKSCAN1,ENSG00000106261,420,7586,best inferred,rest
HYAL4,ENSG00000106302,421,23553,best inferred,rest
AIMP2,ENSG00000106305,422,7965,best inferred,rest
IMPDH1,ENSG00000106348,423,3614,best inferred,rest
LSM5,ENSG00000106355,424,23658,landmark,panel
SERPINE1,ENSG00000106366,425,5054,landmark,panel
PLOD3,ENSG00000106397,426,8985,landmark,panel
RPA3,ENSG00000106399,427,6119,landmark,panel
NRF1,ENSG00000106459,428,4899,best inferred,rest
EZH2,ENSG00000106462,429,2146,landmark,panel
MEST,ENSG00000106484,430,4232,landmark,panel
BLVRA,ENSG00000106605,431,644,landmark,panel
RHEB,ENSG00000106615,432,6009,landmark,panel
PRKAG2,ENSG00000106617,433,51422,landmark,panel
BCL7B,ENSG00000106635,434,9275,landmark,panel
YKT6,ENSG00000106636,435,10652,landmark,panel
C5,ENSG00000106804,436,727,landmark,panel
ASPN,ENSG00000106819,437,54829,best inferred,rest
DNM1,ENSG00000106976,438,1759,landmark,panel
AK1,ENSG00000106992,439,203,best inferred,rest
TBC1D13,ENSG00000107021,440,54662,best inferred,rest
NCS1,ENSG00000107130,441,23413,best inferred,rest
TESK1,ENSG00000107140,442,7016,landmark,panel
DDX58,ENSG00000107201,443,23586,best inferred,rest
NPDC1,ENSG00000107281,444,56654,landmark,panel
SH3GL2,ENSG00000107295,445,6456,best inferred,rest
SHB,ENSG00000107338,446,6461,landmark,panel
PDLIM1,ENSG00000107438,447,9124,landmark,panel
GATA3,ENSG00000107485,448,2625,landmark,panel
RAB11FIP2,ENSG00000107560,449,22841,landmark,panel
DDX50,ENSG00000107625,450,79009,best inferred,rest
NSMCE4A,ENSG00000107672,451,54780,best inferred,rest
PALD1,ENSG00000107719,452,,,rest
BMPR1A,ENSG00000107779,453,657,best inferred,rest
LIPA,ENSG00000107798,454,3988,landmark,panel
PITRM1,ENSG00000107959,455,10531,best inferred,rest
XPNPEP1,ENSG00000108039,456,7511,landmark,panel
SMC3,ENSG00000108055,457,9126,landmark,panel
ZMIZ1,ENSG00000108175,458,57178,landmark,panel
CASC3,ENSG00000108349,459,22794,landmark,panel
RAD51C,ENSG00000108384,460,5889,landmark,panel
RNF167,ENSG00000108523,461,26001,landmark,panel
CHRNE,ENSG00000108556,462,1145,inferred,rest
NUP88,ENSG00000108559,463,4927,landmark,panel
BLMH,ENSG00000108578,464,642,landmark,panel
DRG2,ENSG00000108591,465,1819,best inferred,rest
SMARCD2,ENSG00000108604,466,6603,landmark,panel
CYTH1,ENSG00000108669,467,9267,landmark,panel
CCL2,ENSG00000108691,468,6347,landmark,panel
CCL8,ENSG00000108700,469,6355,best inferred,rest
RAB5C,ENSG00000108774,470,5878,best inferred,rest
COL1A1,ENSG00000108821,471,1277,landmark,panel
VAT1,ENSG00000108828,472,10493,landmark,panel
DUSP3,ENSG00000108861,473,1845,landmark,panel
MMD,ENSG00000108960,474,23531,best inferred,rest
DPH1,ENSG00000108963,475,,,rest
SLC9A3R1,ENSG00000109062,476,9368,best inferred,rest
MYH3,ENSG00000109063,477,4621,inferred,rest
TMEM97,ENSG00000109084,478,27346,landmark,panel
ALDOC,ENSG00000109107,479,230,landmark,panel
DCUN1D4,ENSG00000109184,480,23142,landmark,panel
ODAM,ENSG00000109205,481,54959,inferred,rest
CHIC2,ENSG00000109220,482,26511,landmark,panel
NFKB1,ENSG00000109320,483,4790,best inferred,rest
AREG,ENSG00000109321,484,374,best inferred,rest
INPP4B,ENSG00000109452,485,8821,landmark,panel
GAB1,ENSG00000109458,486,2549,best inferred,rest
WFS1,ENSG00000109501,487,7466,landmark,panel
TRIM2,ENSG00000109654,488,23321,landmark,panel
MFSD10,ENSG00000109736,489,10227,landmark,panel
NCAPG,ENSG00000109805,490,64151,best inferred,rest
UGDH,ENSG00000109814,491,7358,landmark,panel
PPARGC1A,ENSG00000109819,492,10891,best inferred,rest
DDX25,ENSG00000109832,493,29118,best inferred,rest
CCDC34,ENSG00000109881,494,,,rest
HSPA8,ENSG00000109971,495,3312,landmark,panel
CPT1A,ENSG00000110090,496,1374,best inferred,rest
CCND1,ENSG00000110092,497,595,landmark,panel
CCDC86,ENSG00000110104,498,79080,landmark,panel
TMEM109,ENSG00000110108,499,79073,landmark,panel
BIRC2,ENSG00000110330,500,329,landmark,panel
PDHX,ENSG00000110435,501,8050,landmark,panel
PTPMT1,ENSG00000110536,502,,,rest
SLC35F2,ENSG00000110660,503,54733,landmark,panel
NUP98,ENSG00000110713,504,4928,best inferred,rest
PSMD9,ENSG00000110801,505,5715,landmark,panel
CAPRIN2,ENSG00000110888,506,65981,best inferred,rest
SLC11A2,ENSG00000110911,507,4891,landmark,panel
MLEC,ENSG00000110917,508,9761,landmark,panel
MVK,ENSG00000110921,509,4598,best inferred,rest
PPM1H,ENSG00000111110,510,57460,best inferred,rest
ITFG2,ENSG00000111203,511,,,rest
FOXM1,ENSG00000111206,512,2305,best inferred,rest
AKAP3,ENSG00000111254,513,10566,best inferred,rest
CDKN1B,ENSG00000111276,514,1027,landmark,panel
GPRC5D,ENSG00000111291,515,55507,inferred,rest
RFC5,ENSG00000111445,516,5985,landmark,panel
TIMELESS,ENSG00000111602,517,8914,landmark,panel
COPS7A,ENSG00000111652,518,50813,landmark,panel
ENO2,ENSG00000111674,519,2026,best inferred,rest
