gene_symbol,challenge_idx,source_col,split,ctrl_mean,ctrl_std
PPP1R12A,96,688,rest,0.57202595,0.51204836
TARBP1,98,127,panel,0.2559293,0.38177156
SLC2A3,99,664,rest,0.47767395,0.48696285
ACAA1,102,203,panel,0.3556234,0.42263
APPBP2,107,932,panel,0.1203514,0.27525365
HMG20B,110,967,panel,0.26128107,0.38832423
TAF11,111,371,rest,0.5956331,0.49278995
AP3D1,112,964,rest,0.46680978,0.47694254
TRAM2,113,381,panel,0.119611025,0.26599997
ADAT1,116,870,panel,0.104204245,0.24522118
SPEN,118,10,panel,0.63806635,0.5299047
PRKCQ,120,554,panel,0.103007674,0.25201023
MTHFD2,121,154,panel,0.84804976,0.5723428
PPP2R5A,122,113,panel,0.27101263,0.39437613
ELAVL1,123,972,panel,0.5594582,0.48555827
KDM4A,124,36,rest,0.14630473,0.3004914
ISOC1,127,327,panel,0.28385094,0.39333522
MTFR1,129,488,panel,0.16213234,0.3058443
DHX29,132,313,panel,0.49230185,0.47561234
DNTTIP2,133,60,panel,0.56374,0.48958394
TP53BP1,134,791,panel,0.15486199,0.30287012
RHOA,135,213,panel,1.2746512,0.5309056
IARS2,136,117,panel,0.59083915,0.4969973
HEATR6,137,931,rest,0.08436847,0.22832362
COASY,138,917,panel,0.2813122,0.3948552
FTSJ1,140,1100,rest,0.068714604,0.20469889
NUP133,141,125,panel,0.30715364,0.40400687
RAB27A,144,796,panel,0.32353297,0.40729016
ELP1,146,529,panel,0.13895625,0.2841491
NUCB2,147,607,panel,0.18016192,0.3184967
JMJD6,148,940,panel,0.1709084,0.3132818
POLB,149,482,panel,0.089008145,0.2425766
CSNK2A2,151,861,panel,0.77760655,0.5212186
TCOF1,152,339,rest,0.52602184,0.4809525
MAP4K4,154,162,panel,0.5266125,0.48531058
SNX13,155,416,panel,0.11438414,0.2680153
PDCD2,156,410,rest,0.7181562,0.5270797
PRKACA,157,986,panel,0.12077612,0.27186263
ADGRL1,158,987,rest,0.11906949,0.27572384
EPN2,159,898,panel,0.089472644,0.24038248
SMC1A,160,1105,panel,0.868493,0.56671983
HSD17B10,161,1106,panel,0.7025527,0.52000976
NFATC3,163,866,panel,0.17448962,0.31857133
SCARB1,166,709,panel,0.25531408,0.38748774
KDM5A,167,655,panel,0.30109844,0.4085411
FERMT2,168,759,rest,0.11789015,0.27118906
IGF2BP2,171,267,panel,0.33480763,0.40675843
EED,173,637,panel,0.28916293,0.4078415
BCS1L,174,185,rest,0.15154147,0.30218208
HACD3,175,803,panel,0.7468097,0.5251558
TUBE1,176,395,rest,0.10856878,0.2512237
TIPIN,177,804,rest,0.23470794,0.3694762
RAB7A,180,239,rest,0.6510476,0.5130452
ICAM3,181,978,panel,0.11459047,0.2615821
STXBP2,183,971,panel,0.1920104,0.3433249
TM9SF3,184,585,panel,0.53124326,0.5035
USP33,187,56,rest,0.35710424,0.423051
UBE2A,188,1116,panel,0.43720666,0.46043864
FGFR1,189,479,rest,0.14467643,0.2911689
PIK3C3,190,958,panel,0.22993016,0.36647764
N4BP2,191,279,rest,0.40250576,0.46113557
MLLT10,194,559,rest,0.29937628,0.39507747
PCM1,196,468,panel,0.8064338,0.5441415
ITCH,197,1045,rest,0.15590334,0.307813
XRCC5,198,182,rest,1.6352452,0.51652527
MKNK1,199,46,panel,0.17839119,0.32190326
FDFT1,200,467,panel,0.68377244,0.533124
PAFAH1B3,201,1013,panel,0.6691915,0.5081983
CARMIL1,202,358,panel,0.09045089,0.2363554
EPB41L2,204,398,panel,0.6465729,0.538994
KEAP1,205,979,panel,0.26263186,0.37877578
RAB21,206,687,panel,0.2861605,0.3989385
SESN1,207,392,panel,0.09408466,0.23655328
CNOT4,208,454,panel,0.2766392,0.39192787
MEF2C,211,320,panel,0.4169897,0.47408164
AACS,213,710,rest,0.07917934,0.22599228
ME2,216,959,panel,0.28291133,0.40205216
NFE2L1,217,925,rest,0.16177274,0.31609923
PALB2,219,845,rest,0.1338003,0.27718177
KAT6A,220,480,panel,0.22123973,0.34661245
PLOD1,221,8,rest,0.07954584,0.22303347
OXCT1,222,309,panel,0.27124327,0.37136614
PPIE,225,31,panel,0.56202585,0.49019608
TXLNA,227,23,panel,0.4297544,0.44949612
MECOM,229,257,rest,0.10952624,0.26028425
MAP3K4,230,407,panel,0.29308307,0.39856756
CPNE3,233,492,panel,0.32551178,0.4073602
RRN3,234,840,rest,0.09111564,0.23883902
CTTN,235,630,panel,0.29014912,0.39789668
ORC1,236,49,panel,0.253727,0.37197205
CHERP,237,992,panel,0.24044557,0.3743692
MAST2,238,43,panel,0.10806058,0.24495341
CHMP5,239,518,rest,0.39217412,0.44998837
ZW10,241,645,panel,0.13901094,0.2870029
SRRT,242,441,rest,0.49776024,0.47640318
BAX,243,1024,panel,0.53305763,0.4801778
PIGS,244,901,rest,0.36003375,0.42324698
DNM1L,247,670,panel,0.47346702,0.468894
ERGIC2,248,669,rest,0.30438793,0.40618536
AURKA,249,1056,panel,0.40611243,0.5274678
GNA11,250,966,panel,0.13936919,0.28724232
ANKRD10,251,730,panel,0.41942316,0.4674586
MAPKAPK5,253,699,panel,0.24063902,0.36367097
PXN,257,703,panel,0.06709429,0.2041762
IGBP1,259,1108,rest,0.39406258,0.44713956
BIRC5,260,941,panel,0.65337425,0.5772989
ICAM1,261,977,panel,0.07220744,0.22574235
MCOLN1,262,970,panel,0.107558936,0.24663235
AARS,263,867,panel,0.36738747,0.44042924
DLD,264,447,panel,0.6298672,0.5045251
SPAG7,266,888,panel,0.34269372,0.41638944
PSME1,267,740,panel,0.34945834,0.42729902
PPP2R3C,268,749,panel,0.26051372,0.37638605
PHGDH,270,70,panel,0.40856078,0.5051051
CDC45,271,1076,panel,0.8621708,0.65511495
HDAC6,272,1102,panel,0.07952265,0.22232392
HOOK2,274,985,panel,0.11457856,0.26695794
BAMBI,275,561,panel,0.12530492,0.28199357
HSP90AB1,277,379,rest,3.2040715,0.423217
ABL1,278,547,panel,0.27391693,0.38940653
CIRBP,281,962,panel,1.2212989,0.57045656
CRKL,284,1077,panel,0.58734024,0.51049274
SF3A1,285,1084,rest,0.4361207,0.46008733
GGA1,287,1090,rest,0.28250402,0.38811067
XBP1,289,1081,panel,0.45125443,0.49470487
JOSD1,290,1092,rest,0.1159342,0.2680157
FBXO7,291,1085,panel,0.43507347,0.449796
MCM5,293,1086,rest,0.5343411,0.525367
RBFOX2,294,1087,rest,0.15906306,0.31257084
CERK,296,1094,panel,0.05965888,0.20516953
SDR39U1,298,743,rest,0.20160629,0.3474782
COCH,299,745,rest,0.736363,0.5392131
POLE2,300,753,panel,0.13964394,0.28098813
PYGL,301,757,panel,0.059171606,0.19602618
ATP6V1D,303,768,panel,0.21091974,0.3485779
TIMM9,304,763,panel,0.35293767,0.4222403
GSTZ1,305,771,panel,0.12625073,0.2706164
SPTLC2,306,772,panel,0.16377263,0.30432448
LGMN,307,775,panel,0.06708698,0.20711797
SNW1,308,774,rest,0.49211258,0.4750068
DHRS7,309,764,panel,0.15835404,0.30185214
HIF1A,310,766,panel,0.16148533,0.31496608
SRSF5,311,769,rest,0.8830461,0.5452063
EIF5,312,779,panel,1.0925863,0.5599021
PCK2,313,739,panel,0.3329661,0.44467047
NFKBIA,314,750,panel,0.2868528,0.42712295
PSME2,315,741,panel,0.7845556,0.53665453
MYBL2,318,1049,panel,0.48216465,0.4827034
ADNP,319,1055,rest,0.4162721,0.45218363
RAE1,320,1057,panel,0.32050312,0.41069964
TPD52L2,321,1063,panel,0.24569088,0.36552045
PRPF6,322,1064,rest,0.36677173,0.42902622
CDC25B,326,1039,panel,0.08213764,0.2300753
NDUFAF5,327,1041,rest,0.15842299,0.30151138
TRIB3,328,1036,panel,0.30724815,0.45519957
USP14,332,951,panel,0.79704106,0.5286288
RNMT,333,955,panel,0.25070652,0.36774126
PSMD10,334,1113,panel,0.24220105,0.36689064
PGRMC1,336,1115,panel,0.2986977,0.4037697
PLP2,339,1104,panel,0.38563254,0.4551136
NAA10,341,1126,rest,0.8160316,0.5448744
SLC25A14,342,1121,panel,0.06763236,0.20724776
FMR1,343,1124,rest,0.08526851,0.23407742
HTATSF1,345,1123,panel,0.38391775,0.4345969
NDFIP2,346,725,rest,0.28989056,0.39653444
FNDC3A,348,719,rest,0.277282,0.3890746
CORO1A,349,851,panel,0.10035309,0.2631786
PHKB,350,857,panel,0.40119565,0.44070718
LYRM1,351,843,panel,0.091208026,0.23154761
NUP93,352,858,panel,0.27930716,0.3941764
ACD,353,862,panel,0.09455237,0.24878637
COG4,356,868,panel,0.21099451,0.3518599
MON1B,358,872,rest,0.16312113,0.3097158
AXIN1,359,819,panel,0.083888985,0.22950508
MPG,360,818,rest,0.5625857,0.50583166
CIAO3,361,823,panel,0.06444818,0.205668
SLC7A5,362,876,rest,0.25892213,0.37315938
METRN,363,822,panel,0.2759951,0.3776931
STUB1,364,821,panel,0.70786774,0.52584505
DNAJA3,365,834,panel,0.19765283,0.33235103
STX4,366,854,panel,0.17334457,0.32851446
CCP110,367,842,panel,0.14489293,0.29917312
CSK,368,808,panel,0.24439701,0.36845553
FAH,370,813,panel,0.24748836,0.37217626
GABPB1,372,794,panel,0.09947347,0.24195193
TJP1,373,786,panel,0.2229358,0.36518285
DECR1,374,493,panel,0.47005612,0.47077963
POP1,375,496,rest,0.16566487,0.3180347
IKBKB,376,481,panel,0.12313824,0.27151194
TSTA3,379,507,panel,0.3225438,0.418549
PYCR3,380,506,rest,0.07564365,0.21877952
PPP2CB,381,476,rest,0.29087615,0.40052906
ASAH1,382,469,panel,0.43583363,0.46485224
BNIP3L,383,473,panel,0.55205226,0.5243608
MAN2B1,384,983,panel,0.14366768,0.30115086
ECH1,385,1006,panel,0.20589589,0.34777194
NFKBIB,386,1007,panel,0.24149592,0.36522996
PIH1D1,389,1025,panel,0.56987435,0.48949754
PLEKHJ1,390,965,panel,0.7144612,0.5134441
AKAP8,393,990,panel,0.22630836,0.3624184
POP4,394,1000,panel,0.2227237,0.35695124
POLR2I,396,1004,panel,0.5747284,0.48500437
ETFB,397,1030,panel,0.8683632,0.5281993
KDELR1,399,1022,rest,0.6318825,0.5029742
GRWD1,400,1023,panel,0.34774,0.41920173
LIG1,401,1021,panel,0.24952725,0.36731625
TMEM147,404,1003,rest,0.65598184,0.5278334
LSR,406,1002,panel,0.13324286,0.2846793
CDK6,407,435,panel,0.6265265,0.5217631
BET1,409,436,rest,0.19730617,0.3351635
MPP6,411,417,rest,0.24061903,0.36202544
DNAJB6,412,465,panel,0.6737484,0.5093535
HIBADH,414,419,rest,0.15111504,0.29808345
GRB10,415,427,panel,0.16163436,0.3124162
FKBP14,416,420,panel,0.14042746,0.29541793
CASP2,418,457,panel,0.15332186,0.29606995
HSPB1,419,431,panel,0.6549804,0.5142698
ZKSCAN1,420,440,rest,0.46370295,0.4859551
AIMP2,422,412,rest,0.32857168,0.417765
IMPDH1,423,451,rest,0.21891803,0.35322216
LSM5,424,421,panel,1.1885784,0.56521934
PLOD3,426,442,panel,0.1364096,0.29116207
RPA3,427,414,panel,0.601908,0.49956813
EZH2,429,458,panel,0.7209004,0.54067725
MEST,430,453,panel,0.08148979,0.23072031
BLVRA,431,423,panel,0.24376608,0.37877113
RHEB,432,461,panel,0.9346797,0.5509963
BCL7B,434,428,panel,0.20810777,0.35803485
YKT6,435,424,panel,0.13993832,0.28745878
DNM1,438,537,panel,0.20861626,0.35175914
AK1,439,536,rest,0.23341659,0.379136
TBC1D13,440,543,rest,0.09961682,0.2572396
NCS1,441,546,rest,0.08187903,0.22845246
PDLIM1,447,584,panel,0.5023429,0.48314777
DDX50,450,570,rest,0.3631087,0.44311985
NSMCE4A,451,597,rest,0.2461816,0.37257695
BMPR1A,453,582,rest,0.069415085,0.20325944
PITRM1,455,552,rest,0.0892712,0.23759356
XPNPEP1,456,590,panel,0.09643031,0.23872896
SMC3,457,592,panel,0.6996053,0.528151
CASC3,459,910,panel,0.21373211,0.34669363
RAD51C,460,929,panel,0.43909854,0.45266607
RNF167,461,887,panel,0.15719134,0.31425023
NUP88,463,890,panel,0.16302031,0.3079861
BLMH,464,905,panel,0.4272171,0.4559179
DRG2,465,897,rest,0.14047074,0.2946229
SMARCD2,466,936,panel,0.2735661,0.3865916
CYTH1,467,942,panel,0.07594272,0.21918505
RAB5C,470,914,rest,0.6593515,0.52595705
VAT1,472,919,panel,0.18714666,0.3325201
DUSP3,473,921,panel,0.059886474,0.20073014
SLC9A3R1,476,938,rest,0.15965135,0.31547055
TMEM97,478,900,panel,0.6311089,0.51551676
ALDOC,479,902,panel,0.08232995,0.23561789
DCUN1D4,480,280,panel,0.07210448,0.21830201
CHIC2,482,281,panel,0.1139848,0.260125
NFKB1,483,291,rest,0.15227766,0.3052433
AREG,484,285,rest,0.05527081,0.21583268
MFSD10,489,270,panel,0.21771489,0.35498127
NCAPG,490,275,rest,0.5275251,0.544373
UGDH,491,277,panel,0.09388117,0.24476206
CCDC34,494,608,rest,0.47027758,0.46946123
HSPA8,495,650,panel,2.1127954,0.60396624
CCDC86,498,617,panel,0.26439416,0.38723883
TMEM109,499,618,panel,0.13906401,0.29151464
BIRC2,500,639,panel,0.20309332,0.34622982
PDHX,501,610,panel,0.2263141,0.34898373
PTPMT1,502,613,rest,0.19850166,0.33504155
SLC35F2,503,641,panel,0.14584126,0.2988561
NUP98,504,602,rest,0.23355879,0.3582604
PSMD9,505,706,panel,0.5138004,0.48813775
SLC11A2,507,674,panel,0.13344456,0.27889037
MLEC,508,705,panel,0.58945245,0.50351125
MVK,509,696,rest,0.09025992,0.24938634
ITFG2,511,657,rest,0.08098343,0.22590236
FOXM1,512,658,rest,0.12378793,0.26831472
CDKN1B,514,665,panel,0.1302167,0.28111538
RFC5,516,701,panel,0.29245043,0.39705688
TIMELESS,517,682,panel,0.3037223,0.40734315
COPS7A,518,661,panel,0.08122358,0.23157501
ENO2,519,662,rest,0.0654549,0.19929549
ATN1,520,663,rest,0.19153158,0.32553646
GOLT1B,522,667,panel,0.10982771,0.26298615
RAB35,524,702,rest,0.17694934,0.3206919
MCM3,528,380,panel,1.0901309,0.6102893
MDN1,529,389,rest,0.70506316,0.5383521
ZNF451,530,382,panel,0.45381835,0.46376544
ASCC3,531,390,panel,0.36065313,0.43094945
GMNN,532,357,panel,0.8879191,0.5485613
CCND3,534,373,panel,0.56586975,0.54160005
TBP,535,409,panel,0.10983304,0.25487757
PTK7,536,375,rest,0.081911355,0.22034691
DNPH1,537,376,rest,0.9070402,0.54900503
DUSP22,538,348,panel,0.10599395,0.254554
EXOC2,539,349,rest,0.16964184,0.31772855
SENP6,540,383,panel,0.4374364,0.46725073
TBX18,541,385,rest,0.08668453,0.23306754
TENT4A,542,305,panel,0.08274195,0.22831982
HMGCS1,544,311,panel,0.4036904,0.49449703
KIF20A,545,332,panel,0.08279937,0.23343018
NNT,546,312,panel,0.23416743,0.36826628
HMGCR,547,316,panel,0.4558853,0.48269564
GNPDA1,548,334,panel,0.36673075,0.4372644
SKP1,549,331,panel,1.471619,0.5025664
NR3C1,550,335,panel,0.12431127,0.28472006
TCERG1,551,336,panel,0.7062047,0.5069203
CSNK1A1,552,337,panel,0.8360708,0.53624576
HMGXB3,553,338,rest,0.2421299,0.36731398
SMC4,554,255,panel,0.86260694,0.59885794
PCCB,555,244,panel,0.41777575,0.45239732
RNF7,556,249,rest,0.8034386,0.5404288
HES1,557,268,panel,0.110313654,0.26069695
GNAI2,558,216,panel,0.4166411,0.46201706
NPRL2,559,218,panel,0.11081931,0.25481728
UMPS,562,235,rest,0.37879553,0.41925323
MAPKAPK3,564,219,panel,0.19106689,0.32502154
ABCC5,565,263,panel,0.164403,0.3166188
EIF4G1,567,266,panel,1.0634866,0.5573808
TTL,568,164,rest,0.16743585,0.32154167
PIKFYVE,569,181,rest,0.12723522,0.27345827
NCL,570,190,rest,2.8001807,0.4786705
STAT1,572,174,panel,0.28731096,0.40019953
PAPOLG,573,145,rest,0.09977722,0.25114232
TXNDC9,576,160,panel,0.3160786,0.4023915
KDM3A,578,157,panel,0.12538777,0.28025627
ABCB6,581,187,panel,0.11673883,0.2643784
STK25,583,192,panel,0.27064228,0.38040945
GORASP2,585,170,rest,0.34620592,0.41655156
CEBPZ,586,142,panel,0.72089136,0.52344126
DARS,587,169,rest,0.8011682,0.5242061
PCYOX1,590,149,rest,0.22342937,0.36163846
NFE2L2,591,172,panel,0.4358994,0.4603725
MSH6,592,143,panel,0.68317866,0.55723333
SPR,593,150,panel,0.18325108,0.31693658
SCP2,596,50,panel,0.6771464,0.5114175
FAM20B,597,104,panel,0.40595216,0.46237642
ICMT,598,3,panel,0.278041,0.3994323
SRSF4,600,22,rest,1.2015944,0.55423564
CAPZA1,601,67,rest,0.79187244,0.53630716
ARHGEF2,602,84,panel,0.1602045,0.30640012
GADD45A,604,54,panel,0.6570673,0.5440504
CRYZ,606,55,panel,0.16167043,0.3103289
CD58,607,69,panel,0.088996515,0.23944452
LGALS8,608,129,panel,0.05808943,0.20205125
SDHB,610,11,panel,0.40134558,0.4398925
KDM5B,611,107,panel,0.6169514,0.5315338
GALE,612,14,panel,0.1511027,0.29722452
EBNA1BP2,613,33,panel,0.96136373,0.56614846
CDC20,614,34,panel,0.39117575,0.51793224
IPO13,615,37,panel,0.05496878,0.18630171
ATP6V0B,616,39,panel,1.4621618,0.5220895
PIK3R3,617,44,panel,0.06143229,0.19669402
SLC35A3,620,63,panel,0.18103297,0.33358693
STMN1,621,17,panel,1.8832681,0.54416806
DHDDS,623,18,panel,0.092595555,0.24487266
NENF,624,114,panel,0.63680166,0.50663096
RPA2,625,21,panel,0.53202814,0.48636025
OSBPL9,626,48,rest,0.4905453,0.47061896
CTSD,627,601,panel,0.21737035,0.35150453
KIF14,628,105,panel,0.3982546,0.5094751
CAMSAP2,629,106,panel,0.07120867,0.21424167
ATF6,630,94,panel,0.30342713,0.40428758
CREB1,631,180,panel,0.15598327,0.3140555
RNF146,632,397,rest,0.07709672,0.21756631
RXYLT1,633,685,panel,0.18762007,0.32191983
FOXO3,634,391,panel,0.22382633,0.3601014
ITGB1BP1,636,135,panel,0.3192915,0.41461438
CCDC92,637,708,panel,0.11515055,0.27478057
HEATR1,638,130,panel,0.5558212,0.4889439
RAD23B,639,528,rest,0.66519004,0.5196866
CTNNAL1,640,530,panel,0.31795055,0.4087743
GLE1,641,539,rest,0.11547388,0.25921878
CNTRL,642,533,rest,0.28044307,0.399786
SLIRP,645,773,rest,1.0425001,0.5406421
SUPT7L,646,138,rest,0.16621064,0.31186578
DNMT3A,647,136,panel,0.16448797,0.31069592
IDE,648,583,panel,0.21546288,0.3623319
SMNDC1,649,591,panel,0.26961076,0.3875384
MTHFD1L,650,402,rest,0.29251337,0.40004846
PCMT1,651,401,panel,1.0231404,0.5437211
CENPL,652,102,rest,0.28415647,0.39093563
ACAT2,654,405,panel,0.849727,0.5747414
NUDCD1,655,499,rest,0.28998348,0.39502752
UFM1,657,716,panel,0.5414082,0.4964785
EGR1,659,333,panel,0.078021996,0.2758127
PLS1,660,250,panel,0.07912956,0.22574149
NR2C1,661,690,rest,0.14894992,0.30018345
MTERF2,662,693,rest,0.09404794,0.24254678
SOCS2,663,689,panel,0.6759323,0.542865
SORBS3,665,471,panel,0.14619939,0.2927878
LYPLA1,668,484,panel,1.0160836,0.54618263
SLC35B1,670,927,panel,0.29648876,0.39738417
CAT,671,609,panel,0.11759434,0.28044036
ZMYM2,672,712,panel,0.19908372,0.34104297
PIK3CA,673,260,panel,0.20809917,0.3503351
PDS5A,674,278,panel,0.43505752,0.44748136
ZRANB3,676,168,rest,0.081553824,0.22385822
FYTTD1,677,269,rest,0.40380424,0.4426606
NAA60,679,832,rest,0.16240588,0.30672613
RWDD3,681,61,rest,0.19116062,0.33163893
DCAF10,685,522,rest,0.10797214,0.25322676
CISD1,686,564,panel,0.5543117,0.48771256
ECD,687,577,panel,0.18168443,0.32851252
ACOT9,689,1098,panel,0.11901388,0.26780125
ADGRE5,690,988,panel,0.079873756,0.23104095
WDR83,691,984,rest,0.09524223,0.23802206
SPRYD7,692,720,rest,0.22049882,0.3618313
ATF1,693,673,panel,0.1880577,0.326884
CDK2,695,680,panel,0.14241517,0.2942983
LPGAT1,698,112,panel,0.24884817,0.37624803
PLA2G12A,700,295,rest,0.44037622,0.4746137
NCOA3,701,1052,panel,0.18806002,0.32514465
VAPB,702,1058,panel,0.2926601,0.40510333
SRSF6,703,1048,rest,0.29179868,0.40271577
STAMBP,705,153,panel,0.26905426,0.38520986
USP22,706,899,panel,0.3322939,0.41759688
WRNIP1,708,350,rest,0.23145418,0.36229205
SOX4,713,356,panel,0.32290643,0.43119887
SSR1,714,353,rest,0.5030345,0.48518965
TM9SF2,716,727,panel,0.55506086,0.49621654
UPF3B,717,1117,rest,0.37860745,0.43575773
DMAC2L,718,755,panel,0.15430215,0.29696947
NUP85,721,939,panel,0.18185554,0.32150257
MSTO1,722,82,rest,0.077963725,0.22486681
C1orf61,723,87,rest,0.077793896,0.23117024
MBOAT7,725,1032,panel,0.23737682,0.37027493
SNRPD2,728,1019,rest,1.3843989,0.51280767
RTN2,729,1016,panel,0.16750519,0.31602848
EML2,730,1018,rest,0.060835365,0.19636922
PSMF1,733,1037,panel,0.35291797,0.41960448
DSTN,734,1042,rest,0.5745905,0.504933
PLAGL2,736,1044,rest,0.15950692,0.3077178
UROD,737,42,rest,0.7781391,0.5298119
BECN1,739,918,panel,0.2475862,0.36542445
TRAP1,740,833,panel,0.87569267,0.5272043
TIMM17B,741,1103,panel,0.33454505,0.4192311
KTN1,742,762,panel,0.9194804,0.5496348
MAP2K2,744,969,rest,1.0609848,0.50503856
TRAF2,745,551,rest,0.10420818,0.2586012
PIN1,746,975,panel,0.6905386,0.5316088
FBXL12,747,974,panel,0.13775104,0.28252795
UQCR11,749,963,rest,1.682887,0.50953555
SYNGR3,750,825,panel,0.15057652,0.30590838
MACF1,751,30,panel,1.0330381,0.5809277
SMARCA4,752,981,panel,1.0007411,0.52041143
AKAP9,754,434,rest,0.55536675,0.502575
SEM1,755,438,rest,1.0591315,0.5317159
PTPN12,756,432,panel,0.2697166,0.39502457
POR,757,430,rest,0.21972886,0.34901327
PAICS,760,283,panel,1.2764537,0.54655474
CDC42EP1,761,1089,rest,0.46301222,0.47116718
TPST2,762,1079,rest,0.33421606,0.42023632
RAC2,763,1088,panel,0.49458674,0.4783896
CALU,765,452,panel,0.5733392,0.49868423
HAT1,768,171,panel,0.6196851,0.50176585
CLN6,770,806,rest,0.29452118,0.39598528
ARPP19,771,795,panel,0.28543937,0.39521277
PSMA1,773,606,rest,0.89199185,0.54895395
DCTD,774,302,panel,0.3052446,0.40700284
TXNDC17,775,891,rest,0.8497833,0.52695435
PHF20L1,776,503,rest,0.31607732,0.4146297
ILF3,777,980,rest,1.1214751,0.5324421
PARP2,779,734,panel,0.1848979,0.32975596
SNX6,780,748,panel,0.9196702,0.53954226
EAPP,781,747,panel,0.3686909,0.44001806
REEP5,783,325,panel,0.54502594,0.48130944
ITFG1,784,856,panel,0.23529068,0.37380454
MAU2,786,997,rest,0.11698489,0.26210898
LDLR,788,982,rest,0.2691518,0.40089318
APOE,790,1014,panel,2.4025702,0.6220504
XPO7,791,470,panel,0.17837794,0.32979593
JUND,794,995,rest,0.95373505,0.5973345
PAK4,796,1008,panel,0.112565264,0.25808445
TAF4,797,1059,rest,0.0640916,0.20725743
OSBPL2,798,1061,rest,0.104362495,0.25105816
DNMT1,799,976,panel,0.828626,0.541113
F12,803,344,rest,0.14656809,0.29150236
SH3BP5,805,199,panel,0.31604043,0.41956526
TBC1D5,806,200,rest,0.18713565,0.3479765
NR1H2,807,1029,panel,0.12822546,0.28209943
ACLY,808,913,panel,0.55465674,0.49174663
IL13RA1,809,1114,panel,0.15855798,0.30812293
TOP2A,810,912,panel,0.8346206,0.7624148
STARD3,811,909,rest,0.19505805,0.33753863
DNAJB1,814,989,panel,0.22296368,0.36396
LRRC41,815,45,panel,0.29376262,0.39325944
ENOSF1,817,952,panel,0.26025265,0.37877187
ARFIP2,818,603,panel,0.12640345,0.27763835
RRP8,819,604,panel,0.15340625,0.30335668
RPA1,820,881,panel,0.24195692,0.3724227
PCNA,823,1040,panel,0.7779849,0.59557915
KHDC4,824,83,panel,0.3816041,0.43470344
DPH2,826,38,panel,0.16413796,0.3081017
USPL1,828,715,rest,0.08424543,0.22200742
CDK8,829,713,rest,0.11388369,0.2728906
