gene_symbol,challenge_idx,split
CDC45,271,panel
HDAC6,272,panel
FMO2,273,rest
HOOK2,274,panel
BAMBI,275,panel
PGC,276,rest
HSP90AB1,277,rest
ABL1,278,panel
MZF1,279,rest
KCNK6,280,rest
CIRBP,281,panel
RASSF7,282,rest
GADD45B,283,panel
CRKL,284,panel
SF3A1,285,rest
LGALS2,286,rest
GGA1,287,rest
MICALL1,288,panel
XBP1,289,panel
JOSD1,290,rest
FBXO7,291,panel
HMOX1,292,panel
MCM5,293,rest
RBFOX2,294,rest
PNPLA5,295,rest
CERK,296,panel
ABHD4,297,panel
SDR39U1,298,rest
COCH,299,rest
POLE2,300,panel
PYGL,301,panel
CGRRF1,302,panel
ATP6V1D,303,panel
TIMM9,304,panel
GSTZ1,305,panel
SPTLC2,306,panel
LGMN,307,panel
SNW1,308,rest
DHRS7,309,panel
HIF1A,310,panel
SRSF5,311,rest
EIF5,312,panel
PCK2,313,panel
NFKBIA,314,panel
PSME2,315,panel
NFATC4,316,panel
CD40,317,panel
MYBL2,318,panel
ADNP,319,rest
RAE1,320,panel
TPD52L2,321,panel
PRPF6,322,rest
TUBB1,323,rest
TCFL5,324,panel
COL20A1,325,rest
CDC25B,326,panel
NDUFAF5,327,rest
TRIB3,328,panel
RSPO4,329,rest
MYL9,330,panel
CST4,331,rest
USP14,332,panel
RNMT,333,panel
PSMD10,334,panel
GPR143,335,rest
PGRMC1,336,panel
MID1,337,rest
SUV39H1,338,panel
PLP2,339,panel
PLS3,340,rest
NAA10,341,rest
SLC25A14,342,panel
FMR1,343,rest
BRS3,344,rest
HTATSF1,345,panel
NDFIP2,346,rest
TNFSF13B,347,rest
FNDC3A,348,rest
CORO1A,349,panel
PHKB,350,panel
LYRM1,351,panel
NUP93,352,panel
ACD,353,panel
NDRG4,354,rest
HAS3,355,rest
COG4,356,panel
PLA2G15,357,panel
MON1B,358,rest
AXIN1,359,panel
MPG,360,rest
CIAO3,361,panel
SLC7A5,362,rest
METRN,363,panel
STUB1,364,panel
DNAJA3,365,panel
STX4,366,panel
CCP110,367,panel
CSK,368,panel
RASL12,369,rest
FAH,370,panel
HOMER2,371,panel
GABPB1,372,panel
TJP1,373,panel
DECR1,374,panel
POP1,375,rest
IKBKB,376,panel
SPAG1,377,rest
SNX16,378,rest
TSTA3,379,panel
PYCR3,380,rest
PPP2CB,381,rest
ASAH1,382,panel
BNIP3L,383,panel
MAN2B1,384,panel
ECH1,385,panel
NFKBIB,386,panel
KCNA7,387,rest
RELB,388,panel
PIH1D1,389,panel
PLEKHJ1,390,panel
AMH,391,rest
LILRB1,392,rest
AKAP8,393,panel
POP4,394,panel
FSD1,395,panel
POLR2I,396,panel
ETFB,397,panel
CRX,398,rest
KDELR1,399,rest
GRWD1,400,panel
LIG1,401,panel
CAPS,402,rest
RASIP1,403,rest
TMEM147,404,rest
GAPDHS,405,rest
LSR,406,panel
CDK6,407,panel
TFPI2,408,rest
BET1,409,rest
PON2,410,rest
MPP6,411,rest
DNAJB6,412,panel
HOXA5,413,panel
HIBADH,414,rest
GRB10,415,panel
FKBP14,416,panel
STX1A,417,panel
CASP2,418,panel
HSPB1,419,panel
ZKSCAN1,420,rest
HYAL4,421,rest
AIMP2,422,rest
IMPDH1,423,rest
LSM5,424,panel
SERPINE1,425,panel
PLOD3,426,panel
RPA3,427,panel
NRF1,428,rest
EZH2,429,panel
MEST,430,panel
BLVRA,431,panel
RHEB,432,panel
PRKAG2,433,panel
BCL7B,434,panel
YKT6,435,panel
C5,436,panel
ASPN,437,rest
DNM1,438,panel
AK1,439,rest
TBC1D13,440,rest
NCS1,441,rest
TESK1,442,panel
DDX58,443,rest
NPDC1,444,panel
SH3GL2,445,rest
SHB,446,panel
PDLIM1,447,panel
GATA3,448,panel
RAB11FIP2,449,panel
DDX50,450,rest
NSMCE4A,451,rest
PALD1,452,rest
BMPR1A,453,rest
LIPA,454,panel
PITRM1,455,rest
XPNPEP1,456,panel
SMC3,457,panel
ZMIZ1,458,panel
CASC3,459,panel
RAD51C,460,panel
RNF167,461,panel
CHRNE,462,rest
NUP88,463,panel
BLMH,464,panel
DRG2,465,rest
SMARCD2,466,panel
CYTH1,467,panel
CCL2,468,panel
CCL8,469,rest
RAB5C,470,rest
COL1A1,471,panel
VAT1,472,panel
DUSP3,473,panel
MMD,474,rest
DPH1,475,rest
SLC9A3R1,476,rest
MYH3,477,rest
TMEM97,478,panel
ALDOC,479,panel
DCUN1D4,480,panel
ODAM,481,rest
CHIC2,482,panel
NFKB1,483,rest
AREG,484,rest
INPP4B,485,panel
GAB1,486,rest
WFS1,487,panel
TRIM2,488,panel
MFSD10,489,panel
NCAPG,490,rest
UGDH,491,panel
PPARGC1A,492,rest
DDX25,493,rest
CCDC34,494,rest
HSPA8,495,panel
CPT1A,496,rest
CCND1,497,panel
CCDC86,498,panel
TMEM109,499,panel
BIRC2,500,panel
PDHX,501,panel
PTPMT1,502,rest
SLC35F2,503,panel
NUP98,504,rest
PSMD9,505,panel
CAPRIN2,506,rest
SLC11A2,507,panel
MLEC,508,panel
MVK,509,rest
PPM1H,510,rest
ITFG2,511,rest
FOXM1,512,rest
AKAP3,513,rest
CDKN1B,514,panel
GPRC5D,515,rest
RFC5,516,panel
TIMELESS,517,panel
COPS7A,518,panel
ENO2,519,rest
ATN1,520,rest
PTPN6,521,panel
GOLT1B,522,panel
C2CD5,523,panel
RAB35,524,rest
BTN3A3,525,rest
RSPH4A,526,rest
PPARD,527,panel
MCM3,528,panel
MDN1,529,rest
ZNF451,530,panel
ASCC3,531,panel
GMNN,532,panel
SLC22A2,533,rest
CCND3,534,panel
TBP,535,panel
PTK7,536,rest
DNPH1,537,rest
DUSP22,538,panel
EXOC2,539,rest
SENP6,540,panel
TBX18,541,rest
TENT4A,542,panel
GHR,543,panel
HMGCS1,544,panel
KIF20A,545,panel
NNT,546,panel
HMGCR,547,panel
GNPDA1,548,panel
SKP1,549,panel
NR3C1,550,panel
TCERG1,551,panel
CSNK1A1,552,panel
HMGXB3,553,rest
SMC4,554,panel
PCCB,555,panel
RNF7,556,rest
HES1,557,panel
GNAI2,558,panel
NPRL2,559,panel
CBLB,560,panel
IQCG,561,rest
UMPS,562,rest
KIAA1257,563,rest
MAPKAPK3,564,panel
ABCC5,565,panel
TNNC1,566,rest
EIF4G1,567,panel
TTL,568,rest
PIKFYVE,569,rest
NCL,570,rest
FN1,571,rest
STAT1,572,panel
PAPOLG,573,rest
PECR,574,panel
KCNJ13,575,rest
TXNDC9,576,panel
ST3GAL5,577,panel
KDM3A,578,panel
IL1R1,579,rest
FHL2,580,panel
ABCB6,581,panel
SLC5A7,582,rest
STK25,583,panel
ID2,584,panel
GORASP2,585,rest
CEBPZ,586,panel
DARS,587,rest
SLC1A4,588,panel
TRAK2,589,panel
PCYOX1,590,rest
NFE2L2,591,panel
MSH6,592,panel
SPR,593,panel
BCL9,594,rest
GPX7,595,rest
SCP2,596,panel
FAM20B,597,panel
ICMT,598,panel
OPRD1,599,rest
SRSF4,600,rest
CAPZA1,601,rest
ARHGEF2,602,panel
PLA2G4A,603,panel
GADD45A,604,panel
RGS2,605,panel
CRYZ,606,panel
CD58,607,panel
LGALS8,608,panel
AKT3,609,rest
SDHB,610,panel
KDM5B,611,panel
GALE,612,panel
EBNA1BP2,613,panel
CDC20,614,panel
IPO13,615,panel
ATP6V0B,616,panel
PIK3R3,617,panel
FAAH,618,rest
RCAN3,619,rest
SLC35A3,620,panel
STMN1,621,panel
MAN1C1,622,rest
DHDDS,623,panel
NENF,624,panel
RPA2,625,panel
OSBPL9,626,rest
CTSD,627,panel
KIF14,628,panel
CAMSAP2,629,panel
ATF6,630,panel
CREB1,631,panel
RNF146,632,rest
RXYLT1,633,panel
FOXO3,634,panel
SPP1,635,panel
ITGB1BP1,636,panel
CCDC92,637,panel
HEATR1,638,panel
RAD23B,639,rest
CTNNAL1,640,panel
GLE1,641,rest
CNTRL,642,rest
ZBTB45,643,rest
TGFB3,644,panel
SLIRP,645,rest
SUPT7L,646,rest
DNMT3A,647,panel
IDE,648,panel
SMNDC1,649,panel
MTHFD1L,650,rest
PCMT1,651,panel
CENPL,652,rest
GORAB,653,rest
ACAT2,654,panel
NUDCD1,655,rest
DNAJC15,656,panel
UFM1,657,panel
SMAD9,658,rest
EGR1,659,panel
PLS1,660,panel
NR2C1,661,rest
MTERF2,662,rest
SOCS2,663,panel
DUSP4,664,panel
SORBS3,665,panel
PTK2B,666,panel
NPPB,667,rest
LYPLA1,668,panel
TBX2,669,panel
SLC35B1,670,panel
CAT,671,panel
ZMYM2,672,panel
PIK3CA,673,panel
PDS5A,674,panel
CXCR4,675,panel
ZRANB3,676,rest
FYTTD1,677,rest
TBX22,678,rest
NAA60,679,rest
LRRC39,680,rest
RWDD3,681,rest
SLC66A2,682,rest
BBS9,683,rest
INHBA,684,rest
DCAF10,685,rest
CISD1,686,panel
ECD,687,panel
SSPN,688,rest
ACOT9,689,panel
ADGRE5,690,panel
WDR83,691,rest
SPRYD7,692,rest
ATF1,693,panel
PDE1B,694,rest
CDK2,695,panel
LRP1,696,rest
SARDH,697,rest
LPGAT1,698,panel
BATF3,699,rest
PLA2G12A,700,rest
NCOA3,701,panel
VAPB,702,panel
SRSF6,703,rest
NEURL2,704,rest
STAMBP,705,panel
USP22,706,panel
GRM4,707,rest
WRNIP1,708,rest
UNC5CL,709,rest
HIST1H1A,710,rest
SPDEF,711,panel
CDKN1A,712,panel
SOX4,713,panel
SSR1,714,rest
EFNB2,715,rest
TM9SF2,716,panel
UPF3B,717,rest
DMAC2L,718,panel
BMP4,719,panel
MYH2,720,rest
NUP85,721,panel
MSTO1,722,rest
C1orf61,723,rest
KIR2DL1,724,rest
MBOAT7,725,panel
IL1B,726,panel
PAX8,727,panel
SNRPD2,728,rest
RTN2,729,panel
EML2,730,rest
TGM3,731,rest
NKX2-4,732,rest
PSMF1,733,panel
DSTN,734,rest
BPIFB1,735,rest
PLAGL2,736,rest
UROD,737,rest
FFAR2,738,rest
BECN1,739,panel
TRAP1,740,panel
TIMM17B,741,panel
KTN1,742,panel
PLEKHG3,743,rest
MAP2K2,744,rest
TRAF2,745,rest
PIN1,746,panel
FBXL12,747,panel
OR7C1,748,rest
UQCR11,749,rest
SYNGR3,750,panel
MACF1,751,panel
SMARCA4,752,panel
TICAM1,753,panel
AKAP9,754,rest
SEM1,755,rest
PTPN12,756,panel
POR,757,rest
GNAI1,758,panel
ZFP36,759,panel
PAICS,760,panel
CDC42EP1,761,rest
TPST2,762,rest
RAC2,763,panel
DOCK4,764,rest
CALU,765,panel
CHN1,766,panel
OSGEPL1,767,rest
HAT1,768,panel
CHAC1,769,panel
CLN6,770,rest
ARPP19,771,panel
LOXL1,772,panel
PSMA1,773,rest
DCTD,774,panel
TXNDC17,775,rest
PHF20L1,776,rest
ILF3,777,rest
ADCY4,778,rest
PARP2,779,panel
SNX6,780,panel
EAPP,781,panel
TEP1,782,rest
REEP5,783,panel
ITFG1,784,panel
ART1,785,rest
MAU2,786,rest
STARD8,787,rest
LDLR,788,rest
CNN1,789,rest
APOE,790,panel
XPO7,791,panel
ACSBG2,792,rest
FCHO1,793,panel
JUND,794,rest
OLFM1,795,rest
PAK4,796,panel
TAF4,797,rest
OSBPL2,798,rest
DNMT1,799,panel
PKDREJ,800,rest
RGN,801,rest
LILRB2,802,rest
F12,803,rest
PRR7,804,panel
SH3BP5,805,panel
TBC1D5,806,rest
NR1H2,807,panel
ACLY,808,panel
IL13RA1,809,panel
TOP2A,810,panel
STARD3,811,rest
ZNF132,812,rest
RHPN2,813,rest
DNAJB1,814,panel
LRRC41,815,panel
PPARG,816,panel
ENOSF1,817,panel
ARFIP2,818,panel
RRP8,819,panel
RPA1,820,panel
MTSS2,821,rest
SNAP25,822,panel
PCNA,823,panel
KHDC4,824,panel
HAPLN2,825,rest
DPH2,826,panel
CASP9,827,rest
USPL1,828,rest
CDK8,829,rest
WASF3,830,panel
PIK3C2B,831,panel
CCNA1,832,panel
TRPC4,833,rest
BEX2,834,rest
TCEAL4,835,panel
EPHB2,836,panel
CNDP2,837,panel
MYH11,838,rest
FOPNL,839,rest
PDZD2,840,rest
IMPA1,841,rest
CCNB1,842,panel
CDK7,843,panel
BHLHE40,844,panel
EDEM1,845,panel
EMC7,846,rest
VAV3,847,panel
PSRC1,848,panel
ANO3,849,rest
CCNH,850,panel
TMEM241,851,rest
DDB2,852,panel
CDCA8,853,rest
DSG3,854,rest
ERCC5,855,rest
STT3A,856,rest
ETS1,857,panel
CTSL,858,panel
CEMIP2,859,panel
FBXO21,860,panel
HRK,861,rest
BICDL1,862,rest
DMTF1,863,panel
TES,864,panel
MRAP2,865,rest
PRPH,866,rest
AVIL,867,rest
GDF11,868,rest
CDK4,869,panel
TFCP2,870,rest
PAN2,871,panel
MAP7,872,panel
DYSF,873,rest
KCNK1,874,panel
COG2,875,panel
USP37,876,rest
DNAJB2,877,panel
CAB39,878,panel
REV1,879,rest
C2orf49,880,rest
PWP1,881,panel
WASHC4,882,panel
FLNB,883,rest
TBC1D4,884,rest
SCRN1,885,panel
KDELR2,886,panel
BZW2,887,panel
TTYH3,888,rest
TTC5,889,rest
NMT1,890,panel
SCN2A,891,rest
EPRS,892,panel
IL36B,893,rest
YME1L1,894,panel
TOR1A,895,panel
STXBP1,896,panel
TLR4,897,panel
PRPF4,898,panel
FPGS,899,panel
USP20,900,rest
TEX10,901,panel
MYC,902,panel
DENND4C,903,rest
CNPY3,904,panel
PPIL1,905,rest
ZSCAN9,906,rest
TFAP2A,907,panel
TUBB2A,908,rest
BPHL,909,panel
IER3,910,panel
ARRB1,911,rest
SLCO2B1,912,rest
PRCP,913,panel
SDCBP,914,rest
SORL1,915,rest
MMP20,916,rest
DCUN1D5,917,rest
TRIM29,918,rest
SLC37A4,919,panel
RDX,920,rest
FXYD6,921,rest
MAP2K5,922,panel
SQOR,923,panel
CTDSPL2,924,rest
NUSAP1,925,panel
KIF23,926,rest
PAK6,927,panel
ADAM10,928,panel
SLC5A6,929,panel
FBXO11,930,panel
ANXA7,931,panel
TET1,932,rest
GUCA1C,933,rest
SECISBP2L,934,rest
HERC6,935,panel
PRDM5,936,rest
CDKL2,937,rest
CENPE,938,panel
HADH,939,panel
EGF,940,panel
MTTP,941,rest
LLPH,942,rest
DUSP6,943,panel
AMDHD1,944,rest
TCHP,945,rest
GALNT6,946,rest
ZNF740,947,rest
RB1,948,panel
RBM26,949,rest
MBNL2,950,panel
REM2,951,rest
KCNH5,952,rest
GPR65,953,rest
FAM181A,954,rest
WDR20,955,rest
BNIP2,956,rest
GTF2A2,957,panel
UBE2Q2,958,rest
PSTPIP1,959,rest
BCL2A1,960,rest
TSPAN3,961,panel
WDR61,962,panel
TPM1,963,panel
IGF1R,964,panel
NTRK3,965,rest
DET1,966,rest
IQGAP1,967,panel
PMM2,968,panel
PARN,969,rest
TXNL4B,970,panel
NOL3,971,panel
MBTPS1,972,panel
OSGIN1,973,rest
IRF8,974,rest
RHOT2,975,rest
PDPK1,976,rest
OR4D1,977,rest
VPS53,978,rest
SPATA22,979,rest
CLTC,980,panel
SLC39A6,981,rest
PELP1,982,rest
NPC1,983,panel
MINK1,984,rest
SAT2,985,rest
TP53,986,panel
PMAIP1,987,panel
ERBB2,988,panel
GRB7,989,panel
MVB12A,990,rest
CCDC97,991,rest
SIRT3,992,panel
IFNAR1,993,panel
APP,994,panel
AKT1,995,panel
PSMB6,996,rest
NOSIP,997,panel
EPHA2,998,rest
WDTC1,999,panel
KIF2C,1000,panel
PTPRF,1001,panel
MTF2,1002,panel
ATP1B1,1003,panel
MPC2,1004,panel
CREG1,1005,panel
TMCO1,1006,panel
ILDR2,1007,rest
MGST3,1008,rest
COP1,1009,rest
UFC1,1010,rest
PPOX,1011,panel
PFDN2,1012,rest
PIGM,1013,rest
PRUNE1,1014,panel
SF3B4,1015,rest
ADAMTSL4,1016,rest
RFX5,1017,panel
MINDY1,1018,panel
OAZ3,1019,rest
DYRK3,1020,panel
DUSP10,1021,rest
TP53BP2,1022,panel
SLC27A3,1023,panel
INTS3,1024,panel
SCCPDH,1025,panel
NVL,1026,panel
MBOAT2,1027,rest
PARP1,1028,panel
LBR,1029,panel
ZNF514,1030,rest
NAT8,1031,rest
SFXN5,1032,rest
DUSP11,1033,panel
RALB,1034,panel
LIPT1,1035,rest
HSPD1,1036,panel
ACKR3,1037,rest
VGLL4,1038,panel
TMF1,1039,rest
ATG3,1040,panel
TRPC1,1041,rest
TCTA,1042,panel
NICN1,1043,rest
STXBP5L,1044,rest
MUC4,1045,rest
ENOPH1,1046,panel
SNCA,1047,panel
CCNA2,1048,panel
GLRA3,1049,rest
MYO10,1050,panel
SSBP2,1051,panel
RASA1,1052,panel
TNIP1,1053,panel
GFOD1,1054,panel
TNFRSF21,1055,panel
TTBK1,1056,rest
NFKBIE,1057,panel
PM20D2,1058,rest
SCML4,1059,rest
TAAR2,1060,rest
WTAP,1061,rest
VWDE,1062,rest
EGFR,1063,panel
CDCA5,1064,rest
IGFBP3,1065,panel
TLK2,1066,panel
LUC7L2,1067,rest
CASK,1068,panel
EBP,1069,panel
IL2RG,1070,rest
NSDHL,1071,panel
LRP12,1072,rest
POLR2K,1073,panel
ZNF7,1074,rest
CDKN2A,1075,panel
NTRK2,1076,rest
ALAD,1077,rest
NOTCH1,1078,panel
USP6NL,1079,panel
RSU1,1080,panel
PARD3,1081,rest
A1CF,1082,rest
POLR3A,1083,rest
MKI67,1084,rest
PAK1,1085,panel
HYOU1,1086,panel
EI24,1087,rest
CHEK1,1088,panel
CDH22,1089,rest
LSM14B,1090,rest
YTHDF1,1091,panel
PLCB3,1092,panel
HMGA2,1093,panel
ARID5B,1094,panel
LATS2,1095,rest
PDCD4,1096,rest
CCDC83,1097,rest
RGS18,1098,rest
PRSS23,1099,panel
MTMR12,1100,rest
PPP1R1C,1101,rest
DOCK1,1102,rest
DLAT,1103,rest
UBE3B,1104,panel
EIF4E,1105,rest
NUBPL,1106,rest
INPP1,1107,panel
SLC25A4,1108,panel
ZNF385D,1109,rest
CCDC175,1110,rest
PABPC3,1111,rest
PARP8,1112,rest
BAG3,1113,panel
TMEM132D,1114,rest
SPOCK1,1115,rest
RPP38,1116,panel
PAN3,1117,rest
PLEKHH2,1118,rest
DMP1,1119,rest
MBNL1,1120,panel
ANKRD22,1121,rest
PTPRK,1122,panel
MED21,1123,rest
CAST,1124,panel
CETN3,1125,panel
SMARCA5,1126,rest
OR14K1,1127,rest
PTPRR,1128,rest
CD8A,1129,rest
RPIA,1130,panel
JAZF1,1131,rest
MCOLN2,1132,rest
HS2ST1,1133,panel
PPP2R5E,1134,panel
OTULIN,1135,rest
TOMM70,1136,panel
ENPP3,1137,rest
UCHL1,1138,rest
DISP1,1139,rest
C10orf90,1140,rest
DIPK1A,1141,panel
SORBS2,1142,rest
TSEN2,1143,panel
PIEZO2,1144,rest
OTUD6B,1145,rest
CDK19,1146,panel
NIFK,1147,rest
OXA1L,1148,panel
ZKSCAN2,1149,rest
FZD7,1150,panel
RNF20,1151,rest
RRAGA,1152,panel
CLIC2,1153,rest
PSD3,1154,rest
DCK,1155,panel
ALX3,1156,rest
TIAM1,1157,panel
SORCS3,1158,rest
SFXN2,1159,rest
SH3RF2,1160,rest
MTERF3,1161,panel
SUPV3L1,1162,panel
HK1,1163,panel
UBE2L6,1164,panel
KAT6B,1165,panel
UTP14A,1166,panel
MAPK13,1167,panel
TBC1D31,1168,panel
PHKG2,1169,panel
SASS6,1170,rest
BUB1B,1171,panel
BRPF1,1172,rest
TATDN2,1173,panel
RBPMS,1174,rest
FZD1,1175,panel
CLEC18A,1176,rest
IL34,1177,rest
KIT,1178,panel
CACNA2D3,1179,rest
CCNB2,1180,panel
TSC22D3,1181,panel
C2CD2,1182,panel
BRAF,1183,rest
ACAN,1184,rest
PANK4,1185,rest
WIPI2,1186,rest
KRTCAP3,1187,rest
NCK1,1188,panel
RHPN1,1189,rest
XDH,1190,rest
FAIM,1191,panel
CUL4B,1192,rest
GDPD5,1193,panel
NIT1,1194,panel
TOMM40L,1195,rest
MIS18A,1196,rest
LAD1,1197,rest
CSRP1,1198,panel
CLIC6,1199,rest
CBR1,1200,panel
CBR3,1201,panel
ADIPOR1,1202,rest
PSMD4,1203,panel
STARD9,1204,rest
EFCAB14,1205,panel
FAM131B,1206,rest
PSKH1,1207,rest
NPR2,1208,rest
CALM3,1209,panel
DFFA,1210,panel
NR2F6,1211,panel
TFF1,1212,rest
RRP1B,1213,panel
LRRC3,1214,rest
RALGDS,1215,panel
SLC2A6,1216,panel
LCN1,1217,rest
HIPK4,1218,rest
SHKBP1,1219,rest
ZDHHC12,1220,rest
PKN3,1221,rest
DEDD2,1222,rest
SHC1,1223,panel
ANO10,1224,panel
PMF1,1225,rest
UBQLN4,1226,rest
FGFR4,1227,panel
CYP3A7,1228,rest
CPSF4,1229,panel
VPS28,1230,panel
ZNF333,1231,rest
SQSTM1,1232,panel
FBXL13,1233,rest
ABCF3,1234,panel
BDH1,1235,panel
SENP3,1236,rest
CCNF,1237,panel
AMDHD2,1238,panel
NEU3,1239,rest
CYB561A3,1240,rest
USP24,1241,rest
NOL9,1242,rest
KLHL21,1243,panel
KIAA1522,1244,rest
SCNN1D,1245,rest
MEGF6,1246,rest
USP1,1247,panel
SNX7,1248,panel
BRINP3,1249,rest
AGL,1250,panel
FAM71A,1251,rest
ATF3,1252,rest
DENND2D,1253,panel
MAPKAPK2,1254,panel
FCAMR,1255,rest
TYW5,1256,rest
LRATD1,1257,rest
ACTG2,1258,rest
COQ8A,1259,panel
SGCB,1260,panel
TNFAIP8L2,1261,rest
VPS72,1262,panel
SMCP,1263,rest
DCAF16,1264,rest
C1orf189,1265,rest
GPR155,1266,rest
SLC15A2,1267,rest
ARPC2,1268,rest
RNF25,1269,rest
ADORA1,1270,rest
