TSPAN6	ENSG00000000003
XRCC5	ENSG00000079246
MKNK1	ENSG00000079277
FDFT1	ENSG00000079459
PAFAH1B3	ENSG00000079462
CARMIL1	ENSG00000079691
PGM1	ENSG00000079739
EPB41L2	ENSG00000079819
KEAP1	ENSG00000079999
RAB21	ENSG00000080371
SESN1	ENSG00000080546
CNOT4	ENSG00000080802
MOK	ENSG00000080823
CXCL2	ENSG00000081041
MEF2C	ENSG00000081189
PTPRC	ENSG00000081237
AACS	ENSG00000081760
PCDHA6	ENSG00000081842
IL12RB2	ENSG00000081985
ME2	ENSG00000082212
NFE2L1	ENSG00000082641
ITGB5	ENSG00000082781
PALB2	ENSG00000083093
KAT6A	ENSG00000083168
PLOD1	ENSG00000083444
OXCT1	ENSG00000083720
ZNF586	ENSG00000083828
FAT1	ENSG00000083857
PPIE	ENSG00000084072
FAM234B	ENSG00000084444
TXLNA	ENSG00000084652
GCKR	ENSG00000084734
MECOM	ENSG00000085276
MAP3K4	ENSG00000085511
PILRA	ENSG00000085514
AKR1B1	ENSG00000085662
CPNE3	ENSG00000085719
RRN3	ENSG00000085721
CTTN	ENSG00000085733
ORC1	ENSG00000085840
CHERP	ENSG00000085872
MAST2	ENSG00000086015
CHMP5	ENSG00000086065
ITPKC	ENSG00000086544
ZW10	ENSG00000086827
SRRT	ENSG00000087087
BAX	ENSG00000087088
PIGS	ENSG00000087111
MMP2	ENSG00000087245
NID2	ENSG00000087303
DNM1L	ENSG00000087470
ERGIC2	ENSG00000087502
AURKA	ENSG00000087586
GNA11	ENSG00000088256
ANKRD10	ENSG00000088448
PPP1R13B	ENSG00000088808
MAPKAPK5	ENSG00000089022
SLC23A2	ENSG00000089057
DZANK1	ENSG00000089091
LHX5	ENSG00000089116
PXN	ENSG00000089159
RPH3A	ENSG00000089169
IGBP1	ENSG00000089289
BIRC5	ENSG00000089685
ICAM1	ENSG00000090339
MCOLN1	ENSG00000090674
AARS	ENSG00000090861
DLD	ENSG00000091140
WDR7	ENSG00000091157
SPAG7	ENSG00000091640
PSME1	ENSG00000092010
PPP2R3C	ENSG00000092020
TGM1	ENSG00000092295
PHGDH	ENSG00000092621
CDC45	ENSG00000093009
HDAC6	ENSG00000094631
FMO2	ENSG00000094963
HOOK2	ENSG00000095066
BAMBI	ENSG00000095739
PGC	ENSG00000096088
HSP90AB1	ENSG00000096384
ABL1	ENSG00000097007
MZF1	ENSG00000099326
KCNK6	ENSG00000099337
CIRBP	ENSG00000099622
RASSF7	ENSG00000099849
GADD45B	ENSG00000099860
CRKL	ENSG00000099942
SF3A1	ENSG00000099995
LGALS2	ENSG00000100079
GGA1	ENSG00000100083
MICALL1	ENSG00000100139
XBP1	ENSG00000100219
JOSD1	ENSG00000100221
FBXO7	ENSG00000100225
HMOX1	ENSG00000100292
MCM5	ENSG00000100297
RBFOX2	ENSG00000100320
PNPLA5	ENSG00000100341
CERK	ENSG00000100422
ABHD4	ENSG00000100439
SDR39U1	ENSG00000100445
COCH	ENSG00000100473
POLE2	ENSG00000100479
PYGL	ENSG00000100504
CGRRF1	ENSG00000100532
ATP6V1D	ENSG00000100554
TIMM9	ENSG00000100575
GSTZ1	ENSG00000100577
SPTLC2	ENSG00000100596
LGMN	ENSG00000100600
SNW1	ENSG00000100603
DHRS7	ENSG00000100612
HIF1A	ENSG00000100644
SRSF5	ENSG00000100650
EIF5	ENSG00000100664
PCK2	ENSG00000100889
NFKBIA	ENSG00000100906
PSME2	ENSG00000100911
NFATC4	ENSG00000100968
CD40	ENSG00000101017
MYBL2	ENSG00000101057
ADNP	ENSG00000101126
RAE1	ENSG00000101146
TPD52L2	ENSG00000101150
PRPF6	ENSG00000101161
TUBB1	ENSG00000101162
TCFL5	ENSG00000101190
COL20A1	ENSG00000101203
CDC25B	ENSG00000101224
NDUFAF5	ENSG00000101247
TRIB3	ENSG00000101255
RSPO4	ENSG00000101282
MYL9	ENSG00000101335
CST4	ENSG00000101441
USP14	ENSG00000101557
RNMT	ENSG00000101654
PSMD10	ENSG00000101843
GPR143	ENSG00000101850
PGRMC1	ENSG00000101856
MID1	ENSG00000101871
SUV39H1	ENSG00000101945
PLP2	ENSG00000102007
PLS3	ENSG00000102024
NAA10	ENSG00000102030
SLC25A14	ENSG00000102078
FMR1	ENSG00000102081
BRS3	ENSG00000102239
HTATSF1	ENSG00000102241
NDFIP2	ENSG00000102471
TNFSF13B	ENSG00000102524
FNDC3A	ENSG00000102531
CORO1A	ENSG00000102879
PHKB	ENSG00000102893
LYRM1	ENSG00000102897
NUP93	ENSG00000102900
ACD	ENSG00000102977
NDRG4	ENSG00000103034
HAS3	ENSG00000103044
COG4	ENSG00000103051
PLA2G15	ENSG00000103066
MON1B	ENSG00000103111
AXIN1	ENSG00000103126
MPG	ENSG00000103152
CIAO3	ENSG00000103245
SLC7A5	ENSG00000103257
METRN	ENSG00000103260
STUB1	ENSG00000103266
DNAJA3	ENSG00000103423
STX4	ENSG00000103496
CCP110	ENSG00000103540
CSK	ENSG00000103653
RASL12	ENSG00000103710
FAH	ENSG00000103876
HOMER2	ENSG00000103942
GABPB1	ENSG00000104064
TJP1	ENSG00000104067
DECR1	ENSG00000104325
POP1	ENSG00000104356
IKBKB	ENSG00000104365
SPAG1	ENSG00000104450
SNX16	ENSG00000104497
TSTA3	ENSG00000104522
PYCR3	ENSG00000104524
PPP2CB	ENSG00000104695
ASAH1	ENSG00000104763
BNIP3L	ENSG00000104765
MAN2B1	ENSG00000104774
ECH1	ENSG00000104823
NFKBIB	ENSG00000104825
KCNA7	ENSG00000104848
RELB	ENSG00000104856
PIH1D1	ENSG00000104872
PLEKHJ1	ENSG00000104886
AMH	ENSG00000104899
LILRB1	ENSG00000104972
AKAP8	ENSG00000105127
POP4	ENSG00000105171
FSD1	ENSG00000105255
POLR2I	ENSG00000105258
ETFB	ENSG00000105379
CRX	ENSG00000105392
KDELR1	ENSG00000105438
GRWD1	ENSG00000105447
LIG1	ENSG00000105486
CAPS	ENSG00000105519
RASIP1	ENSG00000105538
TMEM147	ENSG00000105677
GAPDHS	ENSG00000105679
LSR	ENSG00000105699
CDK6	ENSG00000105810
TFPI2	ENSG00000105825
BET1	ENSG00000105829
PON2	ENSG00000105854
MPP6	ENSG00000105926
DNAJB6	ENSG00000105993
HOXA5	ENSG00000106004
HIBADH	ENSG00000106049
GRB10	ENSG00000106070
FKBP14	ENSG00000106080
STX1A	ENSG00000106089
CASP2	ENSG00000106144
HSPB1	ENSG00000106211
ZKSCAN1	ENSG00000106261
HYAL4	ENSG00000106302
AIMP2	ENSG00000106305
IMPDH1	ENSG00000106348
LSM5	ENSG00000106355
SERPINE1	ENSG00000106366
PLOD3	ENSG00000106397
RPA3	ENSG00000106399
NRF1	ENSG00000106459
EZH2	ENSG00000106462
MEST	ENSG00000106484
BLVRA	ENSG00000106605
RHEB	ENSG00000106615
PRKAG2	ENSG00000106617
BCL7B	ENSG00000106635
YKT6	ENSG00000106636
C5	ENSG00000106804
ASPN	ENSG00000106819
DNM1	ENSG00000106976
AK1	ENSG00000106992
TBC1D13	ENSG00000107021
NCS1	ENSG00000107130
TESK1	ENSG00000107140
DDX58	ENSG00000107201
NPDC1	ENSG00000107281
SH3GL2	ENSG00000107295
SHB	ENSG00000107338
PDLIM1	ENSG00000107438
GATA3	ENSG00000107485
RAB11FIP2	ENSG00000107560
DDX50	ENSG00000107625
NSMCE4A	ENSG00000107672
PALD1	ENSG00000107719
BMPR1A	ENSG00000107779
LIPA	ENSG00000107798
PITRM1	ENSG00000107959
XPNPEP1	ENSG00000108039
SMC3	ENSG00000108055
ZMIZ1	ENSG00000108175
CASC3	ENSG00000108349
RAD51C	ENSG00000108384
RNF167	ENSG00000108523
CHRNE	ENSG00000108556
NUP88	ENSG00000108559
BLMH	ENSG00000108578
DRG2	ENSG00000108591
SMARCD2	ENSG00000108604
CYTH1	ENSG00000108669
CCL2	ENSG00000108691
CCL8	ENSG00000108700
RAB5C	ENSG00000108774
COL1A1	ENSG00000108821
VAT1	ENSG00000108828
DUSP3	ENSG00000108861
MMD	ENSG00000108960
DPH1	ENSG00000108963
SLC9A3R1	ENSG00000109062
MYH3	ENSG00000109063
TMEM97	ENSG00000109084
ALDOC	ENSG00000109107
DCUN1D4	ENSG00000109184
ODAM	ENSG00000109205
CHIC2	ENSG00000109220
NFKB1	ENSG00000109320
AREG	ENSG00000109321
INPP4B	ENSG00000109452
GAB1	ENSG00000109458
WFS1	ENSG00000109501
TRIM2	ENSG00000109654
MFSD10	ENSG00000109736
NCAPG	ENSG00000109805
UGDH	ENSG00000109814
PPARGC1A	ENSG00000109819
DDX25	ENSG00000109832
CCDC34	ENSG00000109881
HSPA8	ENSG00000109971
CPT1A	ENSG00000110090
CCND1	ENSG00000110092
CCDC86	ENSG00000110104
TMEM109	ENSG00000110108
BIRC2	ENSG00000110330
PDHX	ENSG00000110435
PTPMT1	ENSG00000110536
SLC35F2	ENSG00000110660
NUP98	ENSG00000110713
PSMD9	ENSG00000110801
CAPRIN2	ENSG00000110888
SLC11A2	ENSG00000110911
MLEC	ENSG00000110917
MVK	ENSG00000110921
PPM1H	ENSG00000111110
ITFG2	ENSG00000111203
FOXM1	ENSG00000111206
AKAP3	ENSG00000111254
CDKN1B	ENSG00000111276
GPRC5D	ENSG00000111291
RFC5	ENSG00000111445
TIMELESS	ENSG00000111602
COPS7A	ENSG00000111652
ENO2	ENSG00000111674
ATN1	ENSG00000111676
PTPN6	ENSG00000111679
GOLT1B	ENSG00000111711
C2CD5	ENSG00000111731
RAB35	ENSG00000111737
BTN3A3	ENSG00000111801
RSPH4A	ENSG00000111834
PPARD	ENSG00000112033
MCM3	ENSG00000112118
MDN1	ENSG00000112159
ZNF451	ENSG00000112200
ASCC3	ENSG00000112249
GMNN	ENSG00000112312
SLC22A2	ENSG00000112499
CCND3	ENSG00000112576
TBP	ENSG00000112592
PTK7	ENSG00000112655
DNPH1	ENSG00000112667
DUSP22	ENSG00000112679
EXOC2	ENSG00000112685
SENP6	ENSG00000112701
TBX18	ENSG00000112837
TENT4A	ENSG00000112941
GHR	ENSG00000112964
HMGCS1	ENSG00000112972
KIF20A	ENSG00000112984
NNT	ENSG00000112992
HMGCR	ENSG00000113161
GNPDA1	ENSG00000113552
SKP1	ENSG00000113558
NR3C1	ENSG00000113580
TCERG1	ENSG00000113649
CSNK1A1	ENSG00000113712
HMGXB3	ENSG00000113716
SMC4	ENSG00000113810
PCCB	ENSG00000114054
RNF7	ENSG00000114125
HES1	ENSG00000114315
GNAI2	ENSG00000114353
NPRL2	ENSG00000114388
CBLB	ENSG00000114423
IQCG	ENSG00000114473
UMPS	ENSG00000114491
KIAA1257	ENSG00000114656
MAPKAPK3	ENSG00000114738
ABCC5	ENSG00000114770
TNNC1	ENSG00000114854
EIF4G1	ENSG00000114867
TTL	ENSG00000114999
PIKFYVE	ENSG00000115020
NCL	ENSG00000115053
FN1	ENSG00000115414
STAT1	ENSG00000115415
PAPOLG	ENSG00000115421
PECR	ENSG00000115425
KCNJ13	ENSG00000115474
TXNDC9	ENSG00000115514
ST3GAL5	ENSG00000115525
KDM3A	ENSG00000115548
IL1R1	ENSG00000115594
FHL2	ENSG00000115641
ABCB6	ENSG00000115657
SLC5A7	ENSG00000115665
STK25	ENSG00000115694
ID2	ENSG00000115738
GORASP2	ENSG00000115806
CEBPZ	ENSG00000115816
DARS	ENSG00000115866
SLC1A4	ENSG00000115902
TRAK2	ENSG00000115993
PCYOX1	ENSG00000116005
NFE2L2	ENSG00000116044
MSH6	ENSG00000116062
SPR	ENSG00000116096
BCL9	ENSG00000116128
GPX7	ENSG00000116157
SCP2	ENSG00000116171
FAM20B	ENSG00000116199
ICMT	ENSG00000116237
OPRD1	ENSG00000116329
SRSF4	ENSG00000116350
CAPZA1	ENSG00000116489
ARHGEF2	ENSG00000116584
PLA2G4A	ENSG00000116711
GADD45A	ENSG00000116717
RGS2	ENSG00000116741
CRYZ	ENSG00000116791
CD58	ENSG00000116815
LGALS8	ENSG00000116977
AKT3	ENSG00000117020
SDHB	ENSG00000117118
KDM5B	ENSG00000117139
GALE	ENSG00000117308
EBNA1BP2	ENSG00000117395
CDC20	ENSG00000117399
IPO13	ENSG00000117408
ATP6V0B	ENSG00000117410
PIK3R3	ENSG00000117461
FAAH	ENSG00000117480
RCAN3	ENSG00000117602
SLC35A3	ENSG00000117620
STMN1	ENSG00000117632
MAN1C1	ENSG00000117643
DHDDS	ENSG00000117682
NENF	ENSG00000117691
RPA2	ENSG00000117748
OSBPL9	ENSG00000117859
CTSD	ENSG00000117984
KIF14	ENSG00000118193
CAMSAP2	ENSG00000118200
ATF6	ENSG00000118217
CREB1	ENSG00000118260
RNF146	ENSG00000118518
RXYLT1	ENSG00000118600
FOXO3	ENSG00000118689
SPP1	ENSG00000118785
ITGB1BP1	ENSG00000119185
CCDC92	ENSG00000119242
HEATR1	ENSG00000119285
RAD23B	ENSG00000119318
CTNNAL1	ENSG00000119326
GLE1	ENSG00000119392
CNTRL	ENSG00000119397
ZBTB45	ENSG00000119574
TGFB3	ENSG00000119699
SLIRP	ENSG00000119705
SUPT7L	ENSG00000119760
DNMT3A	ENSG00000119772
IDE	ENSG00000119912
SMNDC1	ENSG00000119953
MTHFD1L	ENSG00000120254
PCMT1	ENSG00000120265
CENPL	ENSG00000120334
GORAB	ENSG00000120370
ACAT2	ENSG00000120437
NUDCD1	ENSG00000120526
DNAJC15	ENSG00000120675
UFM1	ENSG00000120686
SMAD9	ENSG00000120693
EGR1	ENSG00000120738
PLS1	ENSG00000120756
NR2C1	ENSG00000120798
MTERF2	ENSG00000120832
SOCS2	ENSG00000120833
DUSP4	ENSG00000120875
SORBS3	ENSG00000120896
PTK2B	ENSG00000120899
NPPB	ENSG00000120937
LYPLA1	ENSG00000120992
TBX2	ENSG00000121068
SLC35B1	ENSG00000121073
CAT	ENSG00000121691
ZMYM2	ENSG00000121741
PIK3CA	ENSG00000121879
PDS5A	ENSG00000121892
CXCR4	ENSG00000121966
ZRANB3	ENSG00000121988
FYTTD1	ENSG00000122068
TBX22	ENSG00000122145
NAA60	ENSG00000122390
LRRC39	ENSG00000122477
RWDD3	ENSG00000122481
SLC66A2	ENSG00000122490
BBS9	ENSG00000122507
INHBA	ENSG00000122641
DCAF10	ENSG00000122741
CISD1	ENSG00000122873
ECD	ENSG00000122882
SSPN	ENSG00000123096
ACOT9	ENSG00000123130
ADGRE5	ENSG00000123146
WDR83	ENSG00000123154
SPRYD7	ENSG00000123178
ATF1	ENSG00000123268
PDE1B	ENSG00000123360
CDK2	ENSG00000123374
LRP1	ENSG00000123384
SARDH	ENSG00000123453
LPGAT1	ENSG00000123684
BATF3	ENSG00000123685
PLA2G12A	ENSG00000123739
NCOA3	ENSG00000124151
VAPB	ENSG00000124164
SRSF6	ENSG00000124193
NEURL2	ENSG00000124257
STAMBP	ENSG00000124356
USP22	ENSG00000124422
GRM4	ENSG00000124493
WRNIP1	ENSG00000124535
UNC5CL	ENSG00000124602
HIST1H1A	ENSG00000124610
SPDEF	ENSG00000124664
CDKN1A	ENSG00000124762
SOX4	ENSG00000124766
SSR1	ENSG00000124783
EFNB2	ENSG00000125266
TM9SF2	ENSG00000125304
UPF3B	ENSG00000125351
DMAC2L	ENSG00000125375
BMP4	ENSG00000125378
MYH2	ENSG00000125414
NUP85	ENSG00000125450
MSTO1	ENSG00000125459
C1orf61	ENSG00000125462
KIR2DL1	ENSG00000125498
MBOAT7	ENSG00000125505
IL1B	ENSG00000125538
PAX8	ENSG00000125618
SNRPD2	ENSG00000125743
RTN2	ENSG00000125744
EML2	ENSG00000125746
TGM3	ENSG00000125780
NKX2-4	ENSG00000125816
PSMF1	ENSG00000125818
DSTN	ENSG00000125868
BPIFB1	ENSG00000125999
PLAGL2	ENSG00000126003
UROD	ENSG00000126088
FFAR2	ENSG00000126262
BECN1	ENSG00000126581
TRAP1	ENSG00000126602
TIMM17B	ENSG00000126768
KTN1	ENSG00000126777
PLEKHG3	ENSG00000126822
MAP2K2	ENSG00000126934
TRAF2	ENSG00000127191
PIN1	ENSG00000127445
FBXL12	ENSG00000127452
OR7C1	ENSG00000127530
UQCR11	ENSG00000127540
SYNGR3	ENSG00000127561
MACF1	ENSG00000127603
SMARCA4	ENSG00000127616
TICAM1	ENSG00000127666
AKAP9	ENSG00000127914
SEM1	ENSG00000127922
PTPN12	ENSG00000127947
POR	ENSG00000127948
GNAI1	ENSG00000127955
ZFP36	ENSG00000128016
PAICS	ENSG00000128050
CDC42EP1	ENSG00000128283
TPST2	ENSG00000128294
RAC2	ENSG00000128340
DOCK4	ENSG00000128512
CALU	ENSG00000128595
CHN1	ENSG00000128656
OSGEPL1	ENSG00000128694
HAT1	ENSG00000128708
CHAC1	ENSG00000128965
CLN6	ENSG00000128973
ARPP19	ENSG00000128989
LOXL1	ENSG00000129038
PSMA1	ENSG00000129084
DCTD	ENSG00000129187
TXNDC17	ENSG00000129235
PHF20L1	ENSG00000129292
ILF3	ENSG00000129351
ADCY4	ENSG00000129467
PARP2	ENSG00000129484
SNX6	ENSG00000129515
EAPP	ENSG00000129518
TEP1	ENSG00000129566
REEP5	ENSG00000129625
ITFG1	ENSG00000129636
ART1	ENSG00000129744
MAU2	ENSG00000129933
STARD8	ENSG00000130052
LDLR	ENSG00000130164
CNN1	ENSG00000130176
APOE	ENSG00000130203
XPO7	ENSG00000130227
ACSBG2	ENSG00000130377
FCHO1	ENSG00000130475
JUND	ENSG00000130522
OLFM1	ENSG00000130558
PAK4	ENSG00000130669
TAF4	ENSG00000130699
OSBPL2	ENSG00000130703
DNMT1	ENSG00000130816
PKDREJ	ENSG00000130943
RGN	ENSG00000130988
LILRB2	ENSG00000131042
F12	ENSG00000131187
PRR7	ENSG00000131188
SH3BP5	ENSG00000131370
TBC1D5	ENSG00000131374
NR1H2	ENSG00000131408
ACLY	ENSG00000131473
IL13RA1	ENSG00000131724
TOP2A	ENSG00000131747
STARD3	ENSG00000131748
ZNF132	ENSG00000131849
RHPN2	ENSG00000131941
DNAJB1	ENSG00000132002
LRRC41	ENSG00000132128
PPARG	ENSG00000132170
ENOSF1	ENSG00000132199
ARFIP2	ENSG00000132254
RRP8	ENSG00000132275
RPA1	ENSG00000132383
MTSS2	ENSG00000132613
SNAP25	ENSG00000132639
PCNA	ENSG00000132646
KHDC4	ENSG00000132680
HAPLN2	ENSG00000132702
DPH2	ENSG00000132768
CASP9	ENSG00000132906
USPL1	ENSG00000132952
CDK8	ENSG00000132964
WASF3	ENSG00000132970
PIK3C2B	ENSG00000133056
CCNA1	ENSG00000133101
TRPC4	ENSG00000133107
BEX2	ENSG00000133134
TCEAL4	ENSG00000133142
EPHB2	ENSG00000133216
CNDP2	ENSG00000133313
MYH11	ENSG00000133392
FOPNL	ENSG00000133393
PDZD2	ENSG00000133401
IMPA1	ENSG00000133731
CCNB1	ENSG00000134057
CDK7	ENSG00000134058
BHLHE40	ENSG00000134107
EDEM1	ENSG00000134109
EMC7	ENSG00000134153
VAV3	ENSG00000134215
PSRC1	ENSG00000134222
ANO3	ENSG00000134343
CCNH	ENSG00000134480
TMEM241	ENSG00000134490
DDB2	ENSG00000134574
CDCA8	ENSG00000134690
DSG3	ENSG00000134757
ERCC5	ENSG00000134899
STT3A	ENSG00000134910
ETS1	ENSG00000134954
CTSL	ENSG00000135047
CEMIP2	ENSG00000135048
FBXO21	ENSG00000135108
HRK	ENSG00000135116
BICDL1	ENSG00000135127
DMTF1	ENSG00000135164
TES	ENSG00000135269
MRAP2	ENSG00000135324
PRPH	ENSG00000135406
AVIL	ENSG00000135407
GDF11	ENSG00000135414
CDK4	ENSG00000135446
TFCP2	ENSG00000135457
PAN2	ENSG00000135473
MAP7	ENSG00000135525
DYSF	ENSG00000135636
KCNK1	ENSG00000135750
COG2	ENSG00000135775
USP37	ENSG00000135913
DNAJB2	ENSG00000135924
CAB39	ENSG00000135932
REV1	ENSG00000135945
C2orf49	ENSG00000135974
PWP1	ENSG00000136045
WASHC4	ENSG00000136051
FLNB	ENSG00000136068
TBC1D4	ENSG00000136111
SCRN1	ENSG00000136193
KDELR2	ENSG00000136240
BZW2	ENSG00000136261
TTYH3	ENSG00000136295
TTC5	ENSG00000136319
NMT1	ENSG00000136448
SCN2A	ENSG00000136531
EPRS	ENSG00000136628
IL36B	ENSG00000136696
YME1L1	ENSG00000136758
TOR1A	ENSG00000136827
STXBP1	ENSG00000136854
TLR4	ENSG00000136869
PRPF4	ENSG00000136875
FPGS	ENSG00000136877
USP20	ENSG00000136878
TEX10	ENSG00000136891
MYC	ENSG00000136997
DENND4C	ENSG00000137145
CNPY3	ENSG00000137161
PPIL1	ENSG00000137168
ZSCAN9	ENSG00000137185
TFAP2A	ENSG00000137203
TUBB2A	ENSG00000137267
BPHL	ENSG00000137274
IER3	ENSG00000137331
ARRB1	ENSG00000137486
SLCO2B1	ENSG00000137491
PRCP	ENSG00000137509
SDCBP	ENSG00000137575
SORL1	ENSG00000137642
MMP20	ENSG00000137674
DCUN1D5	ENSG00000137692
TRIM29	ENSG00000137699
SLC37A4	ENSG00000137700
RDX	ENSG00000137710
FXYD6	ENSG00000137726
MAP2K5	ENSG00000137764
SQOR	ENSG00000137767
CTDSPL2	ENSG00000137770
NUSAP1	ENSG00000137804
KIF23	ENSG00000137807
PAK6	ENSG00000137843
ADAM10	ENSG00000137845
SLC5A6	ENSG00000138074
FBXO11	ENSG00000138081
ANXA7	ENSG00000138279
TET1	ENSG00000138336
GUCA1C	ENSG00000138472
SECISBP2L	ENSG00000138593
HERC6	ENSG00000138642
PRDM5	ENSG00000138738
CDKL2	ENSG00000138769
CENPE	ENSG00000138778
HADH	ENSG00000138796
EGF	ENSG00000138798
MTTP	ENSG00000138823
LLPH	ENSG00000139233
DUSP6	ENSG00000139318
AMDHD1	ENSG00000139344
TCHP	ENSG00000139437
GALNT6	ENSG00000139629
