gene_symbol,challenge_idx,source_col,split,ctrl_mean,ctrl_std
GNA11,250,1078,panel,0.22357303,0.33118585
ANKRD10,251,821,panel,0.11205952,0.25104132
MAPKAPK5,253,784,panel,0.14892639,0.2897084
SLC23A2,254,1143,rest,0.070630215,0.20066933
PXN,257,788,panel,0.28476125,0.3867911
IGBP1,259,1222,rest,0.35363397,0.40738884
BIRC5,260,1050,panel,0.8756028,0.59867656
MCOLN1,262,1082,panel,0.1279755,0.27037436
AARS,263,971,panel,0.208128,0.340406
DLD,264,497,panel,0.27007902,0.3629523
SPAG7,266,994,panel,0.42531145,0.42659107
PSME1,267,830,panel,0.77403,0.49439245
PPP2R3C,268,837,panel,0.25713575,0.3615014
PHGDH,270,71,panel,0.53402156,0.48654112
CDC45,271,1187,panel,0.18658413,0.33253783
HOOK2,274,1096,panel,0.07678655,0.21170928
BAMBI,275,627,panel,0.1413617,0.29428264
HSP90AB1,277,419,rest,2.859657,0.38417244
ABL1,278,614,panel,0.29792646,0.3965135
KCNK6,280,1115,rest,0.19741485,0.3460595
CIRBP,281,1073,panel,0.919649,0.523108
RASSF7,282,674,rest,0.16254462,0.30546182
GADD45B,283,1077,panel,0.2785215,0.40035215
CRKL,284,1188,panel,0.08521741,0.22324587
SF3A1,285,1194,rest,0.3338044,0.39153764
GGA1,287,1200,rest,0.14111978,0.27847934
MICALL1,288,1201,panel,0.12259632,0.26900098
XBP1,289,1191,panel,0.3343616,0.41611552
JOSD1,290,1203,rest,0.2225759,0.34173036
FBXO7,291,1195,panel,0.28173345,0.3717803
HMOX1,292,1196,panel,0.2514041,0.4172809
MCM5,293,1197,rest,0.3588284,0.43499485
RBFOX2,294,1198,rest,0.48928759,0.45404154
CERK,296,1205,panel,0.25820678,0.36354515
SDR39U1,298,833,rest,0.16026452,0.29712763
POLE2,300,841,panel,0.09996039,0.24048011
PYGL,301,845,panel,0.2033988,0.3271079
CGRRF1,302,850,panel,0.07334517,0.20676494
ATP6V1D,303,861,panel,0.66084784,0.47370306
TIMM9,304,854,panel,0.3272007,0.4099503
GSTZ1,305,865,panel,0.15042418,0.2937124
SPTLC2,306,866,panel,0.19566351,0.3200242
LGMN,307,869,panel,0.05463528,0.18119104
SNW1,308,868,rest,0.5418042,0.4605525
DHRS7,309,855,panel,0.16669117,0.3030889
HIF1A,310,857,panel,1.3112917,0.59403664
SRSF5,311,862,rest,0.8030384,0.50442976
EIF5,312,875,panel,1.3244517,0.51824206
NFKBIA,314,838,panel,0.14858507,0.29365227
PSME2,315,831,panel,0.7837581,0.49516007
MYBL2,318,1153,panel,0.28773206,0.40481135
ADNP,319,1160,rest,0.3820842,0.43156642
RAE1,320,1162,panel,0.21838748,0.34515008
TPD52L2,321,1169,panel,0.38173452,0.41068292
PRPF6,322,1170,rest,0.34648457,0.39743158
TCFL5,324,1167,panel,0.06815715,0.19966778
CDC25B,326,1142,panel,0.18473986,0.33982202
NDUFAF5,327,1145,rest,0.10057886,0.23905486
TRIB3,328,1139,panel,0.06805514,0.2198986
MYL9,330,1150,panel,0.9581806,0.72150993
USP14,332,1059,panel,0.9165469,0.5118457
RNMT,333,1063,panel,0.33445928,0.40011626
PSMD10,334,1227,panel,0.2383007,0.34406686
PGRMC1,336,1230,panel,0.45841148,0.43815574
MID1,337,1209,rest,0.11665008,0.26093516
PLP2,339,1218,panel,1.2331562,0.51488936
PLS3,340,1228,rest,0.9854518,0.53155905
NAA10,341,1240,rest,0.7591369,0.4840814
SLC25A14,342,1235,panel,0.06429578,0.19278754
FMR1,343,1238,rest,0.22994502,0.34630468
HTATSF1,345,1237,panel,0.46906447,0.44796598
NDFIP2,346,814,rest,0.24098486,0.3565201
FNDC3A,348,808,rest,0.3564033,0.4080295
PHKB,350,957,panel,0.27617896,0.3767665
LYRM1,351,942,panel,0.15561475,0.2898598
NUP93,352,959,panel,0.21263462,0.34595335
ACD,353,965,panel,0.1889284,0.32890663
COG4,356,972,panel,0.2290721,0.34584486
PLA2G15,357,970,panel,0.13257964,0.26828128
MON1B,358,977,rest,0.09758209,0.239529
AXIN1,359,920,panel,0.06629589,0.20258048
MPG,360,919,rest,0.6323606,0.48898944
CIAO3,361,924,panel,0.069789484,0.20726235
SLC7A5,362,981,rest,0.2875919,0.40266234
METRN,363,923,panel,1.4460475,0.46938708
STUB1,364,922,panel,0.8781586,0.5013774
DNAJA3,365,933,panel,0.16742662,0.30111736
STX4,366,954,panel,0.24150696,0.34409076
CCP110,367,941,panel,0.17140785,0.31283772
CSK,368,909,panel,0.20093565,0.32965434
FAH,370,914,panel,0.31653938,0.3873518
GABPB1,372,892,panel,0.119208895,0.26280668
TJP1,373,883,panel,0.5612679,0.4785222
DECR1,374,550,panel,0.4435835,0.44426468
POP1,375,554,rest,0.14027236,0.27919698
IKBKB,376,538,panel,0.14247894,0.2789861
SPAG1,377,556,rest,0.105597034,0.24178757
SNX16,378,548,rest,0.064068116,0.19188057
TSTA3,379,567,panel,0.47636402,0.4588284
PYCR3,380,566,rest,0.09529494,0.24051598
PPP2CB,381,533,rest,0.3375602,0.3984189
ASAH1,382,522,panel,0.219442,0.33462515
BNIP3L,383,527,panel,0.8966863,0.53879267
MAN2B1,384,1094,panel,0.06872037,0.20085807
ECH1,385,1116,panel,0.3166641,0.39025682
NFKBIB,386,1117,panel,0.11211001,0.24822624
PIH1D1,389,1129,panel,0.54338205,0.4522557
PLEKHJ1,390,1076,panel,0.46904328,0.44472095
AKAP8,393,1100,panel,0.1375063,0.27377492
POP4,394,1109,panel,0.2950623,0.37129802
FSD1,395,1081,panel,0.14200714,0.280181
POLR2I,396,1113,panel,0.7191698,0.490738
ETFB,397,1134,panel,0.90210533,0.5185122
KDELR1,399,1126,rest,0.9761432,0.50754
GRWD1,400,1127,panel,0.26795974,0.37072122
LIG1,401,1125,panel,0.23297608,0.3574616
TMEM147,404,1112,rest,0.7079349,0.48799083
LSR,406,1111,panel,0.09622304,0.23934501
CDK6,407,482,panel,0.35836762,0.424468
TFPI2,408,483,rest,0.56707555,0.5004886
BET1,409,484,rest,0.18628402,0.31698516
PON2,410,485,rest,0.39350423,0.41990995
MPP6,411,458,rest,0.1700879,0.30829546
DNAJB6,412,517,panel,0.6863554,0.5076193
HIBADH,414,460,rest,0.21387862,0.34181577
GRB10,415,471,panel,0.16086508,0.30039716
FKBP14,416,463,panel,0.23240551,0.363521
STX1A,417,474,panel,0.09309121,0.23592062
CASP2,418,508,panel,0.096152216,0.24281675
HSPB1,419,477,panel,1.4673465,0.4765063
ZKSCAN1,420,489,rest,0.3960543,0.4412101
AIMP2,422,452,rest,0.30921423,0.39380622
IMPDH1,423,501,rest,0.24330331,0.35418314
LSM5,424,464,panel,0.95290315,0.51766783
SERPINE1,425,491,panel,1.6064067,0.6956601
PLOD3,426,492,panel,0.30294123,0.39267144
RPA3,427,454,panel,0.6839937,0.49951786
EZH2,429,509,panel,0.29690257,0.40885422
MEST,430,503,panel,0.7344612,0.5883196
BLVRA,431,467,panel,0.32076728,0.39518523
RHEB,432,512,panel,1.1305165,0.52815586
PRKAG2,433,513,panel,0.35199374,0.42082807
BCL7B,434,473,panel,0.24995703,0.3665088
YKT6,435,468,panel,0.2887464,0.38498363
DNM1,438,606,panel,0.07542918,0.21516731
AK1,439,605,rest,0.39036074,0.42895442
TBC1D13,440,611,rest,0.043374248,0.16054681
NCS1,441,613,rest,0.43243608,0.43659863
TESK1,442,585,panel,0.08366249,0.22008161
DDX58,443,581,rest,0.10441025,0.25050795
NPDC1,444,619,panel,0.5404266,0.4737561
SHB,446,588,panel,0.23673424,0.35440305
PDLIM1,447,653,panel,0.5541989,0.47880745
RAB11FIP2,449,667,panel,0.15811393,0.29180264
DDX50,450,636,rest,0.4219638,0.4245591
NSMCE4A,451,669,rest,0.4183518,0.44994044
BMPR1A,453,649,rest,0.14347295,0.2820404
LIPA,454,651,panel,0.1443531,0.28005657
PITRM1,455,620,rest,0.3057919,0.38996604
XPNPEP1,456,660,panel,0.21021064,0.32705438
SMC3,457,662,panel,1.1501397,0.58059746
ZMIZ1,458,648,panel,0.4030432,0.44342032
CASC3,459,1020,panel,0.18694201,0.31990972
RAD51C,460,1039,panel,0.2672301,0.36168507
RNF167,461,993,panel,0.3033634,0.38735554
NUP88,463,996,panel,0.22937791,0.34670115
BLMH,464,1013,panel,0.21551314,0.35098565
DRG2,465,1007,rest,0.17663284,0.30312854
SMARCD2,466,1046,panel,0.17580014,0.3079083
CCL2,468,1015,panel,0.034992307,0.20479293
RAB5C,470,1024,rest,0.73966354,0.48527995
COL1A1,471,1038,panel,0.045619197,0.17534286
VAT1,472,1028,panel,0.25892845,0.36461714
DUSP3,473,1030,panel,0.19369885,0.32137397
SLC9A3R1,476,1047,rest,0.4290064,0.4344194
TMEM97,478,1010,panel,0.13868226,0.27579233
DCUN1D4,480,302,panel,0.1486752,0.28413504
CHIC2,482,304,panel,0.2622398,0.3713997
NFKB1,483,315,rest,0.16457585,0.3056879
INPP4B,485,323,panel,0.2606156,0.3688049
WFS1,487,290,panel,0.08045334,0.21789326
TRIM2,488,327,panel,0.06623004,0.19666842
MFSD10,489,288,panel,0.45205703,0.44393444
NCAPG,490,294,rest,0.50887746,0.55379426
UGDH,491,297,panel,0.5521915,0.48276585
CCDC34,494,683,rest,0.3477305,0.418639
HSPA8,495,729,panel,2.238055,0.50783426
CPT1A,496,708,rest,0.2005659,0.33314052
CCND1,497,709,panel,2.1168795,0.54711306
CCDC86,498,694,panel,0.17471278,0.3106399
TMEM109,499,695,panel,0.3478825,0.41986617
BIRC2,500,719,panel,0.379609,0.4414913
PDHX,501,685,panel,0.13810407,0.27256206
PTPMT1,502,690,rest,0.20160869,0.32892975
SLC35F2,503,721,panel,0.16389078,0.3040391
NUP98,504,677,rest,0.25579304,0.363333
PSMD9,505,791,panel,0.711441,0.48828846
CAPRIN2,506,753,rest,0.31051466,0.389862
SLC11A2,507,759,panel,0.08959944,0.22862251
MLEC,508,790,panel,1.084426,0.5197963
ITFG2,511,737,rest,0.13015456,0.27000746
FOXM1,512,738,rest,0.46014896,0.48229742
CDKN1B,514,745,panel,0.43946365,0.46986768
RFC5,516,786,panel,0.17503121,0.30959523
TIMELESS,517,766,panel,0.22137469,0.34240595
COPS7A,518,741,panel,0.5189899,0.4546617
ENO2,519,742,rest,0.56917715,0.4963074
ATN1,520,743,rest,0.49141964,0.45552218
GOLT1B,522,748,panel,0.42330366,0.44474924
C2CD5,523,749,panel,0.094840504,0.23279133
RAB35,524,787,rest,0.14014183,0.2857261
PPARD,527,410,panel,0.15292916,0.28968313
MCM3,528,420,panel,0.5807831,0.53621083
MDN1,529,427,rest,0.25680482,0.37036246
ZNF451,530,422,panel,0.26892993,0.37700287
ASCC3,531,428,panel,0.569892,0.4872922
GMNN,532,396,panel,0.44433528,0.48256302
CCND3,534,413,panel,0.20771532,0.33778015
TBP,535,448,panel,0.059041362,0.18031657
PTK7,536,415,rest,0.14792226,0.2880317
DNPH1,537,416,rest,0.41697365,0.44163424
DUSP22,538,385,panel,0.06742437,0.19175193
EXOC2,539,386,rest,0.08833061,0.22517265
SENP6,540,423,panel,0.40652177,0.4395261
TENT4A,542,333,panel,0.073353045,0.20247446
HMGCS1,544,340,panel,0.052115437,0.17183392
KIF20A,545,366,panel,0.2359612,0.39191726
NNT,546,341,panel,0.251685,0.3473064
HMGCR,547,347,panel,0.10628221,0.2481014
GNPDA1,548,368,panel,0.31248417,0.4002589
SKP1,549,363,panel,1.8442558,0.40912205
NR3C1,550,369,panel,0.41895908,0.4432707
TCERG1,551,371,panel,0.5303565,0.46757567
CSNK1A1,552,373,panel,0.9950512,0.5013244
HMGXB3,553,374,rest,0.31019035,0.3862569
SMC4,554,272,panel,1.0974104,0.7131578
PCCB,555,261,panel,0.13513835,0.2727174
RNF7,556,266,rest,0.94176054,0.49511048
HES1,557,285,panel,0.3620907,0.44619238
GNAI2,558,226,panel,1.3808255,0.477646
NPRL2,559,228,panel,0.07745407,0.21288422
CBLB,560,247,panel,0.05341047,0.18453158
UMPS,562,252,rest,0.2685269,0.3695858
MAPKAPK3,564,229,panel,0.18227653,0.3126124
ABCC5,565,280,panel,0.069931224,0.20764644
EIF4G1,567,283,panel,1.2228361,0.5208135
TTL,568,164,rest,0.27479145,0.37652776
PIKFYVE,569,184,rest,0.08686591,0.2227387
NCL,570,195,rest,2.4752526,0.5603207
FN1,571,185,rest,2.7152946,0.719255
STAT1,572,177,panel,0.3520017,0.4129927
TXNDC9,576,158,panel,0.49020603,0.4424089
KDM3A,578,156,panel,0.15922496,0.298864
FHL2,580,162,panel,1.1872232,0.5798802
ABCB6,581,191,panel,0.066366,0.20162588
STK25,583,199,panel,0.35581765,0.39734206
ID2,584,132,panel,0.0521654,0.18474452
GORASP2,585,172,rest,0.4252742,0.43178678
CEBPZ,586,141,panel,0.42221,0.4331792
DARS,587,171,rest,0.5483855,0.4688285
TRAK2,589,182,panel,0.14439274,0.27575633
PCYOX1,590,147,rest,0.36611265,0.4066006
NFE2L2,591,175,panel,0.5021003,0.45294455
MSH6,592,142,panel,0.5998966,0.5319796
SPR,593,149,panel,0.09818605,0.23940782
SCP2,596,49,panel,0.44121784,0.44238475
FAM20B,597,99,panel,0.23675492,0.3386417
ICMT,598,2,panel,0.3768915,0.41594648
SRSF4,600,21,rest,0.60604554,0.48937052
CAPZA1,601,68,rest,0.759846,0.48066416
ARHGEF2,602,83,panel,0.11711369,0.259264
PLA2G4A,603,100,panel,0.1039856,0.25874224
GADD45A,604,54,panel,0.4094303,0.46981332
CRYZ,606,55,panel,0.1231053,0.26314783
CD58,607,70,panel,0.17615546,0.31231648
LGALS8,608,126,panel,0.15344258,0.29284075
AKT3,609,128,rest,0.32781893,0.40581706
SDHB,610,10,panel,0.53068185,0.46464252
KDM5B,611,105,panel,0.39980203,0.4508825
GALE,612,13,panel,0.41665724,0.444358
EBNA1BP2,613,32,panel,0.86334,0.51634026
CDC20,614,33,panel,0.605982,0.65024203
IPO13,615,36,panel,0.06524503,0.1926163
ATP6V0B,616,38,panel,1.1352091,0.4876409
PIK3R3,617,43,panel,0.11019353,0.2483325
RCAN3,619,14,rest,0.10428177,0.24585722
SLC35A3,620,65,panel,0.14621386,0.28572527
STMN1,621,17,panel,2.1110315,0.5759966
DHDDS,623,18,panel,0.11203367,0.24949184
NENF,624,112,panel,0.6810667,0.47643584
RPA2,625,20,panel,0.29730448,0.38537687
OSBPL9,626,47,rest,0.3174615,0.38878208
CTSD,627,676,panel,1.5907197,0.53995633
KIF14,628,101,panel,0.30761918,0.4784645
CAMSAP2,629,102,panel,0.35112706,0.40500736
ATF6,630,90,panel,0.2908512,0.37708586
CREB1,631,183,panel,0.21546865,0.3352937
RNF146,632,435,rest,0.10849574,0.2545647
RXYLT1,633,770,panel,0.2240407,0.347747
FOXO3,634,429,panel,0.15351753,0.2941487
SPP1,635,310,panel,0.25358775,0.4069766
ITGB1BP1,636,134,panel,0.91041315,0.49852726
CCDC92,637,793,panel,0.23213941,0.35461837
HEATR1,638,127,panel,0.24164699,0.36186236
RAD23B,639,596,rest,0.7610585,0.501552
CTNNAL1,640,598,panel,0.9454853,0.5100179
GLE1,641,608,rest,0.089340195,0.22807905
CNTRL,642,602,rest,0.14203379,0.29015923
ZBTB45,643,1138,rest,0.06630034,0.1949758
SLIRP,645,867,rest,1.1062706,0.5007816
SUPT7L,646,136,rest,0.111726485,0.25116408
IDE,648,652,panel,0.24472544,0.35708296
SMNDC1,649,661,panel,0.30164686,0.390548
MTHFD1L,650,441,rest,0.3347964,0.39277956
PCMT1,651,440,panel,0.73550904,0.49214086
CENPL,652,97,rest,0.12400134,0.2650669
GORAB,653,96,rest,0.054852873,0.18283546
ACAT2,654,444,panel,0.35366786,0.4164592
NUDCD1,655,559,rest,0.27286243,0.37509295
DNAJC15,656,806,panel,0.5855992,0.4702564
UFM1,657,804,panel,0.38089925,0.42583582
SMAD9,658,803,rest,0.08205554,0.21421832
EGR1,659,367,panel,0.03768666,0.17628022
NR2C1,661,777,rest,0.09563344,0.23180984
DUSP4,664,530,panel,0.2011598,0.34240738
SORBS3,665,525,panel,0.40515348,0.43087828
LYPLA1,668,540,panel,0.5561392,0.45681292
SLC35B1,670,1037,panel,0.3239707,0.38940525
CAT,671,684,panel,0.21825862,0.34977978
ZMYM2,672,797,panel,0.17452234,0.31077543
PIK3CA,673,277,panel,0.11856512,0.25599518
PDS5A,674,298,panel,0.42071387,0.43004787
ZRANB3,676,170,rest,0.079478085,0.21739744
FYTTD1,677,287,rest,0.347297,0.4116883
NAA60,679,931,rest,0.11927238,0.25921148
RWDD3,681,62,rest,0.13346538,0.2699091
SLC66A2,682,1072,rest,0.16801406,0.30354416
INHBA,684,466,rest,1.0928453,0.642082
DCAF10,685,587,rest,0.15268837,0.2908583
CISD1,686,630,panel,0.618603,0.48631608
ECD,687,643,panel,0.25299087,0.35819054
SSPN,688,750,rest,0.12501113,0.27696028
ACOT9,689,1210,panel,0.33493456,0.4042274
ADGRE5,690,1098,panel,0.09830845,0.24017948
WDR83,691,1095,rest,0.07644234,0.213414
SPRYD7,692,809,rest,0.22306225,0.3455408
ATF1,693,758,panel,0.13378693,0.27002984
CDK2,695,764,panel,0.11924345,0.26880082
LRP1,696,767,rest,0.4563928,0.4493652
LPGAT1,698,110,panel,0.36458707,0.40512434
PLA2G12A,700,319,rest,0.23009191,0.34050733
NCOA3,701,1157,panel,0.12239328,0.25901967
VAPB,702,1163,panel,0.30762613,0.38679874
SRSF6,703,1152,rest,0.3448075,0.40939143
STAMBP,705,152,panel,0.27531102,0.36775607
USP22,706,1009,panel,0.46486634,0.44370547
WRNIP1,708,387,rest,0.16422315,0.2938859
CDKN1A,712,411,panel,0.3718816,0.5306195
SOX4,713,395,panel,0.40148774,0.47572988
SSR1,714,390,rest,0.58605415,0.47721124
EFNB2,715,819,rest,0.22270724,0.37267444
TM9SF2,716,816,panel,0.34797275,0.40008813
UPF3B,717,1232,rest,0.23702487,0.35893255
DMAC2L,718,843,panel,0.14123042,0.28284928
BMP4,719,849,panel,0.10389409,0.26369563
NUP85,721,1048,panel,0.11318991,0.25280803
MSTO1,722,81,rest,0.10538175,0.23959939
MBOAT7,725,1135,panel,0.43441457,0.42712766
IL1B,726,165,panel,0.31018984,0.51879936
PAX8,727,166,panel,0.06576024,0.19609235
