gene_symbol,ensembl_id,replogle:K562_essential_normalized_bulk,replogle:K562_essential_raw_bulk,replogle:K562_essential_raw_singlecell,replogle:K562_gwps_normalized_bulk,replogle:K562_gwps_raw_bulk,replogle:K562_gwps_raw_singlecell,replogle:rpe1_normalized_bulk,replogle:rpe1_raw_bulk,replogle:rpe1_raw_singlecell,lincs:level5_beta_ctl_n58022x12328,lincs:level5_beta_ctl_n58022x12328:landmark,lincs:level5_beta_trt_xpr_n142901x12328,lincs:level5_beta_trt_xpr_n142901x12328:landmark
RABEP1,ENSG00000029725,True,True,True,True,True,True,True,True,True,True,False,True,False
GRN,ENSG00000030582,True,True,True,True,True,True,True,True,True,True,True,True,True
APBA2,ENSG00000034053,True,True,True,True,True,True,True,True,True,True,False,True,False
NSMAF,ENSG00000035681,True,True,True,True,True,True,True,True,True,True,False,True,False
TIMP2,ENSG00000035862,False,False,False,False,False,False,True,True,True,True,True,True,True
OTC,ENSG00000036473,False,False,False,False,False,False,False,False,False,True,False,True,False
RIPOR1,ENSG00000039523,False,False,False,False,False,False,True,True,True,True,False,True,False
RAI14,ENSG00000039560,True,True,True,True,True,True,True,True,True,True,True,True,True
JADE2,ENSG00000043143,False,False,False,False,False,False,True,True,True,True,True,True,True
EPHA3,ENSG00000044524,False,False,False,False,False,False,False,False,False,True,True,True,True
DSG2,ENSG00000046604,True,True,True,True,True,True,True,True,True,True,True,True,True
CELF2,ENSG00000048740,True,True,True,True,True,True,False,False,False,True,False,True,False
RFC2,ENSG00000049541,True,True,True,True,True,True,True,True,True,True,True,True,True
MCUR1,ENSG00000050393,True,True,True,True,True,True,True,True,True,True,True,True,True
MAPK9,ENSG00000050748,True,True,True,True,True,True,True,True,True,True,True,True,True
HERPUD1,ENSG00000051108,True,True,True,True,True,True,True,True,True,True,True,True,True
PIK3CB,ENSG00000051382,True,True,True,True,True,True,True,True,True,True,False,True,False
RRP12,ENSG00000052749,True,True,True,True,True,True,True,True,True,True,True,True,True
AKR7A2,ENSG00000053371,True,True,True,True,True,True,True,True,True,True,True,True,True
LAMA3,ENSG00000053747,False,False,False,False,False,False,False,False,False,True,True,True,True
TRAPPC3,ENSG00000054116,True,True,True,True,True,True,True,True,True,True,True,True,True
THRAP3,ENSG00000054118,True,True,True,True,True,True,True,True,True,True,False,True,False
ARID4B,ENSG00000054267,True,True,True,True,True,True,True,True,True,True,True,True,True
SYNE2,ENSG00000054654,False,False,False,False,False,False,True,True,True,True,True,True,True
DCBLD2,ENSG00000057019,True,True,True,True,True,True,True,True,True,True,False,True,False
SERPINB3,ENSG00000057149,False,False,False,False,False,False,False,False,False,True,False,True,False
PKP2,ENSG00000057294,False,False,False,False,False,False,True,True,True,True,False,True,False
ATP11B,ENSG00000058063,True,True,True,True,True,True,True,True,True,True,True,True,True
PPP1R12A,ENSG00000058272,True,True,True,True,True,True,True,True,True,True,False,True,False
ATP2B4,ENSG00000058668,False,False,False,False,False,False,True,True,True,True,False,True,False
TARBP1,ENSG00000059588,True,True,True,True,True,True,True,True,True,True,True,True,True
SLC2A3,ENSG00000059804,True,True,True,True,True,True,True,True,True,True,False,True,False
STYK1,ENSG00000060140,False,False,False,False,False,False,False,False,False,True,False,True,False
GNA15,ENSG00000060558,False,False,False,False,False,False,False,False,False,True,True,True,True
ACAA1,ENSG00000060971,True,True,True,True,True,True,True,True,True,True,True,True,True
SPAG4,ENSG00000061656,False,False,False,False,False,False,True,True,True,True,True,True,True
GUCY1B1,ENSG00000061918,False,False,False,False,False,False,False,False,False,True,False,True,False
CDH3,ENSG00000062038,False,False,False,False,False,False,False,False,False,True,True,True,True
DGAT2,ENSG00000062282,False,False,False,False,False,False,False,False,False,False,False,False,False
APPBP2,ENSG00000062725,True,True,True,True,True,True,True,True,True,True,True,True,True
GPC1,ENSG00000063660,False,False,False,False,False,False,True,True,True,True,True,True,True
LPAR2,ENSG00000064547,False,False,False,False,False,False,False,False,False,True,True,True,True
HMG20B,ENSG00000064961,True,True,True,True,True,True,True,True,True,True,True,True,True
TAF11,ENSG00000064995,True,True,True,True,True,True,True,True,True,True,False,True,False
AP3D1,ENSG00000065000,True,True,True,True,True,True,True,True,True,True,False,True,False
TRAM2,ENSG00000065308,True,True,True,True,True,True,True,True,True,True,True,True,True
DGKA,ENSG00000065357,False,False,False,False,False,False,True,True,True,True,False,True,False
ERBB3,ENSG00000065361,False,False,False,False,False,False,False,False,False,True,True,True,True
ADAT1,ENSG00000065457,True,True,True,True,True,True,True,True,True,True,True,True,True
PDIA5,ENSG00000065485,False,False,False,False,False,False,False,False,False,True,True,True,True
SPEN,ENSG00000065526,True,True,True,True,True,True,True,True,True,True,True,True,True
MYLK,ENSG00000065534,False,False,False,False,False,False,True,True,True,True,True,True,True
PRKCQ,ENSG00000065675,True,True,True,True,True,True,False,False,False,True,True,True,True
MTHFD2,ENSG00000065911,True,True,True,True,True,True,True,True,True,True,True,True,True
PPP2R5A,ENSG00000066027,True,True,True,True,True,True,True,True,True,True,True,True,True
ELAVL1,ENSG00000066044,True,True,True,True,True,True,True,True,True,True,True,True,True
KDM4A,ENSG00000066135,True,True,True,True,True,True,True,True,True,True,False,True,False
ZMYND12,ENSG00000066185,False,False,False,False,False,False,False,False,False,False,False,False,False
FGFR2,ENSG00000066468,False,False,False,False,False,False,False,False,False,True,True,True,True
ISOC1,ENSG00000066583,True,True,True,True,True,True,True,True,True,True,True,True,True
ATG2B,ENSG00000066739,False,False,False,False,False,False,True,True,True,True,False,True,False
MTFR1,ENSG00000066855,True,True,True,True,True,True,True,True,True,True,True,True,True
PLPP1,ENSG00000067113,False,False,False,False,False,False,True,True,True,True,False,True,False
PHKA1,ENSG00000067177,False,False,False,False,False,False,False,False,False,True,True,True,True
DHX29,ENSG00000067248,True,True,True,True,True,True,True,True,True,True,True,True,True
DNTTIP2,ENSG00000067334,True,True,True,True,True,True,True,True,True,True,True,True,True
TP53BP1,ENSG00000067369,True,True,True,True,True,True,True,True,True,True,True,True,True
RHOA,ENSG00000067560,True,True,True,True,True,True,True,True,True,True,True,True,True
IARS2,ENSG00000067704,True,True,True,True,True,True,True,True,True,True,True,True,True
HEATR6,ENSG00000068097,True,True,True,True,True,True,True,True,True,True,False,True,False
COASY,ENSG00000068120,True,True,True,True,True,True,True,True,True,True,True,True,True
TFE3,ENSG00000068323,False,False,False,False,False,False,True,True,True,True,False,True,False
FTSJ1,ENSG00000068438,True,True,True,True,True,True,True,True,True,True,False,True,False
NUP133,ENSG00000069248,True,True,True,True,True,True,True,True,True,True,True,True,True
PIGB,ENSG00000069943,False,False,False,False,False,False,False,False,False,True,True,True,True
GNB5,ENSG00000069966,False,False,False,False,False,False,True,True,True,True,True,True,True
RAB27A,ENSG00000069974,True,True,True,True,True,True,True,True,True,True,True,True,True
SCT,ENSG00000070031,False,False,False,False,False,False,False,False,False,True,False,True,False
ELP1,ENSG00000070061,True,True,True,True,True,True,True,True,True,True,True,True,True
NUCB2,ENSG00000070081,True,True,True,True,True,True,True,True,True,True,True,True,True
JMJD6,ENSG00000070495,True,True,True,True,True,True,True,True,True,True,True,True,True
POLB,ENSG00000070501,True,True,True,True,True,True,True,True,True,True,True,True,True
ST6GALNAC2,ENSG00000070731,False,False,False,False,False,False,False,False,False,True,True,True,True
CSNK2A2,ENSG00000070770,True,True,True,True,True,True,True,True,True,True,True,True,True
TCOF1,ENSG00000070814,True,True,True,True,True,True,True,True,True,True,False,True,False
NCK2,ENSG00000071051,False,False,False,False,False,False,True,True,True,True,True,True,True
MAP4K4,ENSG00000071054,True,True,True,True,True,True,True,True,True,True,True,True,True
SNX13,ENSG00000071189,True,True,True,True,True,True,True,True,True,True,True,True,True
PDCD2,ENSG00000071994,True,True,True,True,True,True,True,True,True,True,False,True,False
PRKACA,ENSG00000072062,True,True,True,True,True,True,True,True,True,True,True,True,True
ADGRL1,ENSG00000072071,True,True,True,True,True,True,False,False,False,True,False,True,False
EPN2,ENSG00000072134,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC1A,ENSG00000072501,True,True,True,True,True,True,True,True,True,True,True,True,True
HSD17B10,ENSG00000072506,True,True,True,True,True,True,True,True,True,True,True,True,True
P4HA2,ENSG00000072682,False,False,False,False,False,False,True,True,True,True,True,True,True
NFATC3,ENSG00000072736,True,True,True,True,True,True,True,True,True,True,True,True,True
STK10,ENSG00000072786,True,True,True,False,False,False,True,True,True,True,True,True,True
MRVI1,ENSG00000072952,False,False,False,False,False,False,False,False,False,False,False,False,False
SCARB1,ENSG00000073060,True,True,True,True,True,True,True,True,True,True,True,True,True
KDM5A,ENSG00000073614,True,True,True,True,True,True,True,True,True,True,True,True,True
FERMT2,ENSG00000073712,True,True,True,True,True,True,True,True,True,True,False,True,False
CD5L,ENSG00000073754,False,False,False,False,False,False,False,False,False,True,False,True,False
PTGS2,ENSG00000073756,False,False,False,False,False,False,False,False,False,True,True,True,True
IGF2BP2,ENSG00000073792,True,True,True,True,True,True,True,True,True,True,True,True,True
GLI2,ENSG00000074047,False,False,False,False,False,False,False,False,False,True,True,True,True
EED,ENSG00000074266,True,True,True,True,True,True,True,True,True,True,True,True,True
BCS1L,ENSG00000074582,True,True,True,True,True,True,True,True,True,True,False,True,False
HACD3,ENSG00000074696,True,True,True,True,True,True,True,True,True,True,True,True,True
TUBE1,ENSG00000074935,True,True,True,True,True,True,True,True,True,False,False,False,False
TIPIN,ENSG00000075131,True,True,True,True,True,True,True,True,True,True,False,True,False
FOSL2,ENSG00000075426,False,False,False,False,False,False,True,True,True,True,False,True,False
CACNG5,ENSG00000075429,False,False,False,False,False,False,False,False,False,True,False,True,False
RAB7A,ENSG00000075785,True,True,True,True,True,True,True,True,True,True,False,True,False
ICAM3,ENSG00000076662,True,True,True,True,True,True,True,True,True,True,True,True,True
RAP1GAP,ENSG00000076864,False,False,False,False,False,False,False,False,False,True,True,True,True
STXBP2,ENSG00000076944,True,True,True,True,True,True,False,False,False,True,True,True,True
TM9SF3,ENSG00000077147,True,True,True,True,True,True,True,True,True,True,True,True,True
NFKB2,ENSG00000077150,False,False,False,False,False,False,True,True,True,True,True,True,True
IL4R,ENSG00000077238,False,False,False,False,False,False,True,True,True,True,True,True,True
USP33,ENSG00000077254,True,True,True,True,True,True,True,True,True,True,False,True,False
UBE2A,ENSG00000077721,True,True,True,True,True,True,True,True,True,True,True,True,True
FGFR1,ENSG00000077782,True,True,True,True,True,True,True,True,True,True,False,True,False
PIK3C3,ENSG00000078142,True,True,True,True,True,True,True,True,True,True,True,True,True
N4BP2,ENSG00000078177,True,True,True,True,True,True,True,True,True,False,False,False,False
ADCY2,ENSG00000078295,False,False,False,False,False,False,False,False,False,True,False,True,False
EDN1,ENSG00000078401,False,False,False,False,False,False,True,True,True,True,True,True,True
MLLT10,ENSG00000078403,True,True,True,True,True,True,True,True,True,True,False,True,False
P2RY10,ENSG00000078589,False,False,False,False,False,False,False,False,False,True,False,True,False
PCM1,ENSG00000078674,True,True,True,True,True,True,True,True,True,True,True,True,True
ITCH,ENSG00000078747,True,True,True,True,True,True,True,True,True,True,False,True,False
XRCC5,ENSG00000079246,True,True,True,True,True,True,True,True,True,True,False,True,False
MKNK1,ENSG00000079277,True,True,True,True,True,True,True,True,True,True,True,True,True
FDFT1,ENSG00000079459,True,True,True,True,True,True,True,True,True,True,True,True,True
PAFAH1B3,ENSG00000079462,True,True,True,True,True,True,True,True,True,True,True,True,True
CARMIL1,ENSG00000079691,True,True,True,True,True,True,True,True,True,True,True,True,True
PGM1,ENSG00000079739,False,False,False,False,False,False,True,True,True,True,True,True,True
EPB41L2,ENSG00000079819,True,True,True,True,True,True,True,True,True,True,True,True,True
KEAP1,ENSG00000079999,True,True,True,True,True,True,True,True,True,True,True,True,True
RAB21,ENSG00000080371,True,True,True,True,True,True,True,True,True,True,True,True,True
SESN1,ENSG00000080546,True,True,True,True,True,True,True,True,True,True,True,True,True
CNOT4,ENSG00000080802,True,True,True,True,True,True,True,True,True,True,True,True,True
MOK,ENSG00000080823,False,False,False,False,False,False,True,True,True,True,True,True,True
CXCL2,ENSG00000081041,False,False,False,False,False,False,False,False,False,True,True,True,True
MEF2C,ENSG00000081189,True,True,True,True,True,True,False,False,False,True,True,True,True
PTPRC,ENSG00000081237,False,False,False,False,False,False,False,False,False,True,True,True,True
AACS,ENSG00000081760,True,True,True,True,True,True,True,True,True,True,False,True,False
PCDHA6,ENSG00000081842,False,False,False,False,False,False,False,False,False,True,False,True,False
IL12RB2,ENSG00000081985,False,False,False,False,False,False,False,False,False,True,False,True,False
ME2,ENSG00000082212,True,True,True,True,True,True,True,True,True,True,True,True,True
NFE2L1,ENSG00000082641,True,True,True,True,True,True,True,True,True,True,False,True,False
ITGB5,ENSG00000082781,False,False,False,False,False,False,True,True,True,True,True,True,True
PALB2,ENSG00000083093,True,True,True,True,True,True,True,True,True,True,False,True,False
KAT6A,ENSG00000083168,True,True,True,True,True,True,True,True,True,True,True,True,True
PLOD1,ENSG00000083444,True,True,True,True,True,True,True,True,True,True,False,True,False
OXCT1,ENSG00000083720,True,True,True,True,True,True,True,True,True,True,True,True,True
ZNF586,ENSG00000083828,False,False,False,False,False,False,False,False,False,True,True,True,True
FAT1,ENSG00000083857,False,False,False,False,False,False,True,True,True,True,True,True,True
PPIE,ENSG00000084072,True,True,True,True,True,True,True,True,True,True,True,True,True
FAM234B,ENSG00000084444,False,False,False,False,False,False,False,False,False,True,False,True,False
TXLNA,ENSG00000084652,True,True,True,True,True,True,True,True,True,True,True,True,True
GCKR,ENSG00000084734,False,False,False,False,False,False,False,False,False,True,False,True,False
MECOM,ENSG00000085276,True,True,True,True,True,True,True,True,True,True,False,True,False
MAP3K4,ENSG00000085511,True,True,True,True,True,True,True,True,True,True,True,True,True
PILRA,ENSG00000085514,False,False,False,False,False,False,False,False,False,True,False,True,False
AKR1B1,ENSG00000085662,False,False,False,False,False,False,True,True,True,True,False,True,False
CPNE3,ENSG00000085719,True,True,True,True,True,True,True,True,True,True,True,True,True
RRN3,ENSG00000085721,True,True,True,True,True,True,True,True,True,True,False,True,False
CTTN,ENSG00000085733,True,True,True,True,True,True,True,True,True,True,True,True,True
ORC1,ENSG00000085840,True,True,True,True,True,True,True,True,True,True,True,True,True
CHERP,ENSG00000085872,True,True,True,True,True,True,True,True,True,True,True,True,True
MAST2,ENSG00000086015,True,True,True,True,True,True,True,True,True,True,True,True,True
CHMP5,ENSG00000086065,True,True,True,True,True,True,True,True,True,True,False,True,False
ITPKC,ENSG00000086544,False,False,False,False,False,False,False,False,False,True,False,True,False
ZW10,ENSG00000086827,True,True,True,True,True,True,True,True,True,True,True,True,True
SRRT,ENSG00000087087,True,True,True,True,True,True,True,True,True,True,False,True,False
BAX,ENSG00000087088,True,True,True,True,True,True,True,True,True,True,True,True,True
PIGS,ENSG00000087111,True,True,True,True,True,True,True,True,True,False,False,False,False
MMP2,ENSG00000087245,False,False,False,False,False,False,True,True,True,True,True,True,True
NID2,ENSG00000087303,False,False,False,False,False,False,True,True,True,True,False,True,False
DNM1L,ENSG00000087470,True,True,True,True,True,True,True,True,True,True,True,True,True
ERGIC2,ENSG00000087502,True,True,True,True,True,True,True,True,True,True,False,True,False
AURKA,ENSG00000087586,True,True,True,True,True,True,True,True,True,True,True,True,True
GNA11,ENSG00000088256,True,True,True,True,True,True,True,True,True,True,True,True,True
ANKRD10,ENSG00000088448,True,True,True,True,True,True,True,True,True,True,True,True,True
PPP1R13B,ENSG00000088808,False,False,False,False,False,False,False,False,False,True,True,True,True
MAPKAPK5,ENSG00000089022,True,True,True,True,True,True,True,True,True,True,True,True,True
SLC23A2,ENSG00000089057,True,True,True,False,False,False,True,True,True,True,False,True,False
DZANK1,ENSG00000089091,False,False,False,False,False,False,False,False,False,True,False,True,False
LHX5,ENSG00000089116,False,False,False,False,False,False,False,False,False,True,False,True,False
PXN,ENSG00000089159,True,True,True,True,True,True,True,True,True,True,True,True,True
RPH3A,ENSG00000089169,False,False,False,False,False,False,False,False,False,True,False,True,False
IGBP1,ENSG00000089289,True,True,True,True,True,True,True,True,True,True,False,True,False
BIRC5,ENSG00000089685,True,True,True,True,True,True,True,True,True,True,True,True,True
ICAM1,ENSG00000090339,True,True,True,True,True,True,False,False,False,True,True,True,True
MCOLN1,ENSG00000090674,True,True,True,True,True,True,True,True,True,True,True,True,True
AARS,ENSG00000090861,True,True,True,True,True,True,True,True,True,True,True,True,True
DLD,ENSG00000091140,True,True,True,True,True,True,True,True,True,True,True,True,True
WDR7,ENSG00000091157,False,False,False,False,False,False,False,False,False,True,True,True,True
SPAG7,ENSG00000091640,True,True,True,True,True,True,True,True,True,True,True,True,True
PSME1,ENSG00000092010,True,True,True,True,True,True,True,True,True,True,True,True,True
PPP2R3C,ENSG00000092020,True,True,True,True,True,True,True,True,True,True,True,True,True
TGM1,ENSG00000092295,False,False,False,False,False,False,False,False,False,True,False,True,False
PHGDH,ENSG00000092621,True,True,True,True,True,True,True,True,True,True,True,True,True
CDC45,ENSG00000093009,True,True,True,True,True,True,True,True,True,True,True,True,True
HDAC6,ENSG00000094631,True,True,True,True,True,True,False,False,False,True,True,True,True
FMO2,ENSG00000094963,False,False,False,False,False,False,False,False,False,True,False,True,False
HOOK2,ENSG00000095066,True,True,True,True,True,True,True,True,True,True,True,True,True
BAMBI,ENSG00000095739,True,True,True,True,True,True,True,True,True,True,True,True,True
PGC,ENSG00000096088,False,False,False,False,False,False,False,False,False,True,False,True,False
HSP90AB1,ENSG00000096384,True,True,True,True,True,True,True,True,True,True,False,True,False
ABL1,ENSG00000097007,True,True,True,True,True,True,True,True,True,True,True,True,True
MZF1,ENSG00000099326,True,True,True,False,False,False,False,False,False,True,False,True,False
KCNK6,ENSG00000099337,False,False,False,False,False,False,True,True,True,False,False,False,False
CIRBP,ENSG00000099622,True,True,True,True,True,True,True,True,True,True,True,True,True
RASSF7,ENSG00000099849,False,False,False,False,False,False,True,True,True,True,False,True,False
GADD45B,ENSG00000099860,False,False,False,False,False,False,True,True,True,True,True,True,True
CRKL,ENSG00000099942,True,True,True,True,True,True,True,True,True,True,True,True,True
SF3A1,ENSG00000099995,True,True,True,True,True,True,True,True,True,True,False,True,False
LGALS2,ENSG00000100079,False,False,False,False,False,False,False,False,False,True,False,True,False
GGA1,ENSG00000100083,True,True,True,True,True,True,True,True,True,True,False,True,False
MICALL1,ENSG00000100139,False,False,False,False,False,False,True,True,True,True,True,True,True
XBP1,ENSG00000100219,True,True,True,True,True,True,True,True,True,True,True,True,True
JOSD1,ENSG00000100221,True,True,True,True,True,True,True,True,True,True,False,True,False
FBXO7,ENSG00000100225,True,True,True,True,True,True,True,True,True,True,True,True,True
HMOX1,ENSG00000100292,False,False,False,False,False,False,True,True,True,True,True,True,True
MCM5,ENSG00000100297,True,True,True,True,True,True,True,True,True,True,False,True,False
RBFOX2,ENSG00000100320,True,True,True,True,True,True,True,True,True,True,False,True,False
PNPLA5,ENSG00000100341,False,False,False,False,False,False,False,False,False,False,False,False,False
CERK,ENSG00000100422,True,True,True,True,True,True,True,True,True,True,True,True,True
ABHD4,ENSG00000100439,False,False,False,False,False,False,False,False,False,True,True,True,True
SDR39U1,ENSG00000100445,True,True,True,True,True,True,True,True,True,True,False,True,False
COCH,ENSG00000100473,True,True,True,True,True,True,False,False,False,True,False,True,False
POLE2,ENSG00000100479,True,True,True,True,True,True,True,True,True,True,True,True,True
PYGL,ENSG00000100504,False,False,False,True,True,True,True,True,True,True,True,True,True
CGRRF1,ENSG00000100532,False,False,False,False,False,False,True,True,True,True,True,True,True
ATP6V1D,ENSG00000100554,True,True,True,True,True,True,True,True,True,True,True,True,True
TIMM9,ENSG00000100575,True,True,True,True,True,True,True,True,True,True,True,True,True
GSTZ1,ENSG00000100577,True,True,True,True,True,True,True,True,True,True,True,True,True
SPTLC2,ENSG00000100596,True,True,True,True,True,True,True,True,True,True,True,True,True
LGMN,ENSG00000100600,True,True,True,True,True,True,True,True,True,True,True,True,True
SNW1,ENSG00000100603,True,True,True,True,True,True,True,True,True,True,False,True,False
DHRS7,ENSG00000100612,True,True,True,True,True,True,True,True,True,True,True,True,True
HIF1A,ENSG00000100644,True,True,True,True,True,True,True,True,True,True,True,True,True
SRSF5,ENSG00000100650,True,True,True,True,True,True,True,True,True,True,False,True,False
EIF5,ENSG00000100664,True,True,True,True,True,True,True,True,True,True,True,True,True
PCK2,ENSG00000100889,True,True,True,True,True,True,False,False,False,True,True,True,True
NFKBIA,ENSG00000100906,True,True,True,True,True,True,True,True,True,True,True,True,True
PSME2,ENSG00000100911,True,True,True,True,True,True,True,True,True,True,True,True,True
NFATC4,ENSG00000100968,False,False,False,False,False,False,False,False,False,True,True,True,True
CD40,ENSG00000101017,False,False,False,False,False,False,False,False,False,True,True,True,True
MYBL2,ENSG00000101057,True,True,True,True,True,True,True,True,True,True,True,True,True
ADNP,ENSG00000101126,True,True,True,True,True,True,True,True,True,True,False,True,False
RAE1,ENSG00000101146,True,True,True,True,True,True,True,True,True,True,True,True,True
TPD52L2,ENSG00000101150,True,True,True,True,True,True,True,True,True,True,True,True,True
PRPF6,ENSG00000101161,True,True,True,True,True,True,True,True,True,True,False,True,False
TUBB1,ENSG00000101162,False,False,False,False,False,False,False,False,False,True,False,True,False
TCFL5,ENSG00000101190,False,False,False,False,False,False,True,True,True,True,True,True,True
COL20A1,ENSG00000101203,False,False,False,False,False,False,False,False,False,False,False,False,False
CDC25B,ENSG00000101224,True,True,True,True,True,True,True,True,True,True,True,True,True
NDUFAF5,ENSG00000101247,True,True,True,True,True,True,True,True,True,True,False,True,False
TRIB3,ENSG00000101255,True,True,True,True,True,True,True,True,True,True,True,True,True
